"Notes"	"State"	"State Code"	"Month Day, Year"	"Month Day, Year Code"	Avg Fine Particulate Matter (µg/m³)	# of Observations for Fine Particulate Matter	Min Fine Particulate Matter	Max Fine Particulate Matter	Avg Fine Particulate Matter Standard Deviation
	"Alabama"	"01"	"Feb 22, 2011"	"2011/02/22"	8.48	1265	7.00	10.70	0.64
	"Alabama"	"01"	"Feb 23, 2011"	"2011/02/23"	16.78	1265	10.40	21.80	3.02
	"Alabama"	"01"	"Feb 24, 2011"	"2011/02/24"	28.68	1265	24.10	32.60	1.41
	"Alabama"	"01"	"Feb 25, 2011"	"2011/02/25"	5.91	1265	4.00	7.40	0.71
	"Alabama"	"01"	"Feb 26, 2011"	"2011/02/26"	10.37	1265	9.40	12.50	0.69
	"Alabama"	"01"	"Feb 27, 2011"	"2011/02/27"	13.74	1265	9.60	17.20	1.59
	"Alabama"	"01"	"Feb 28, 2011"	"2011/02/28"	16.19	1265	13.10	20.80	1.66
	"Alabama"	"01"	"Mar 01, 2011"	"2011/03/01"	10.18	1265	8.40	12.00	0.84
	"Alabama"	"01"	"Mar 02, 2011"	"2011/03/02"	19.98	1265	14.50	25.00	1.56
	"Alabama"	"01"	"Mar 03, 2011"	"2011/03/03"	17.10	1265	15.00	18.40	0.56
	"Alabama"	"01"	"Mar 04, 2011"	"2011/03/04"	11.50	1265	7.90	16.40	1.60
	"Alabama"	"01"	"Mar 05, 2011"	"2011/03/05"	3.23	1265	0.00	9.20	2.79
	"Alabama"	"01"	"Mar 06, 2011"	"2011/03/06"	11.08	1265	8.30	15.00	1.54
	"Alabama"	"01"	"Mar 07, 2011"	"2011/03/07"	10.26	1265	6.80	14.40	1.16
	"Alabama"	"01"	"Mar 08, 2011"	"2011/03/08"	13.39	1265	8.40	15.60	1.36
	"Alabama"	"01"	"Mar 09, 2011"	"2011/03/09"	11.14	1265	5.40	20.20	4.35
	"Alabama"	"01"	"Mar 10, 2011"	"2011/03/10"	7.96	1265	5.80	10.40	0.91
	"Alabama"	"01"	"Mar 11, 2011"	"2011/03/11"	10.67	1265	9.60	11.90	0.42
	"Alabama"	"01"	"Mar 12, 2011"	"2011/03/12"	13.48	1265	12.00	15.80	0.76
	"Alabama"	"01"	"Mar 13, 2011"	"2011/03/13"	10.32	1265	6.90	13.70	1.18
	"Alabama"	"01"	"Mar 14, 2011"	"2011/03/14"	15.47	1265	8.30	19.10	3.73
	"Alabama"	"01"	"Mar 15, 2011"	"2011/03/15"	6.70	1265	0.00	11.20	2.64
	"Alabama"	"01"	"Mar 16, 2011"	"2011/03/16"	7.01	1265	6.00	8.30	0.39
	"Alabama"	"01"	"Mar 17, 2011"	"2011/03/17"	16.69	1265	15.20	17.30	0.43
	"Alabama"	"01"	"Mar 18, 2011"	"2011/03/18"	13.98	1265	11.60	15.80	0.92
	"Alabama"	"01"	"Mar 19, 2011"	"2011/03/19"	15.95	1265	12.00	19.50	1.86
	"Alabama"	"01"	"Mar 20, 2011"	"2011/03/20"	14.63	1265	10.10	17.40	1.84
	"Alabama"	"01"	"Mar 21, 2011"	"2011/03/21"	17.82	1265	14.50	20.80	1.38
	"Alabama"	"01"	"Mar 22, 2011"	"2011/03/22"	17.36	1265	14.10	21.40	1.43
	"Alabama"	"01"	"Mar 23, 2011"	"2011/03/23"	17.38	1265	15.30	18.70	0.70
	"Alabama"	"01"	"Mar 24, 2011"	"2011/03/24"	8.30	1265	6.30	10.20	1.11
	"Alabama"	"01"	"Mar 25, 2011"	"2011/03/25"	10.54	1265	8.30	15.20	1.07
	"Alabama"	"01"	"Mar 26, 2011"	"2011/03/26"	13.50	1265	10.20	19.70	2.38
	"Alabama"	"01"	"Mar 27, 2011"	"2011/03/27"	10.91	1265	8.40	13.40	1.01
	"Alabama"	"01"	"Mar 28, 2011"	"2011/03/28"	9.35	1265	4.50	14.00	2.13
	"Alabama"	"01"	"Mar 29, 2011"	"2011/03/29"	11.31	1265	9.00	15.00	1.31
	"Alabama"	"01"	"Mar 30, 2011"	"2011/03/30"	9.01	1265	6.40	11.40	1.08
	"Alabama"	"01"	"Mar 31, 2011"	"2011/03/31"	15.47	1265	10.30	20.20	3.02
	"Alabama"	"01"	"Apr 01, 2011"	"2011/04/01"	8.82	1265	7.50	11.60	0.96
	"Alabama"	"01"	"Apr 02, 2011"	"2011/04/02"	7.91	1265	7.00	9.50	0.35
	"Alabama"	"01"	"Apr 03, 2011"	"2011/04/03"	9.32	1265	8.80	10.40	0.24
	"Alabama"	"01"	"Apr 04, 2011"	"2011/04/04"	13.04	1265	9.10	15.50	1.54
	"Alabama"	"01"	"Apr 05, 2011"	"2011/04/05"	5.08	1265	4.30	7.70	0.49
	"Alabama"	"01"	"Apr 06, 2011"	"2011/04/06"	6.10	1265	4.50	6.80	0.51
	"Alabama"	"01"	"Apr 07, 2011"	"2011/04/07"	11.04	1265	8.10	16.40	1.65
	"Alabama"	"01"	"Apr 08, 2011"	"2011/04/08"	15.21	1265	8.50	25.10	3.41
	"Alabama"	"01"	"Apr 09, 2011"	"2011/04/09"	12.74	1265	9.80	17.30	1.59
	"Alabama"	"01"	"Apr 10, 2011"	"2011/04/10"	11.21	1265	9.10	13.50	0.93
	"Alabama"	"01"	"Apr 11, 2011"	"2011/04/11"	13.87	1265	7.50	19.60	3.31
	"Alabama"	"01"	"Apr 12, 2011"	"2011/04/12"	6.63	1265	5.00	8.10	0.54
	"Alabama"	"01"	"Apr 13, 2011"	"2011/04/13"	10.26	1265	8.30	12.10	0.81
	"Alabama"	"01"	"Apr 14, 2011"	"2011/04/14"	17.19	1265	14.90	20.50	1.38
	"Alabama"	"01"	"Apr 15, 2011"	"2011/04/15"	12.05	1265	5.90	17.00	2.02
	"Alabama"	"01"	"Apr 16, 2011"	"2011/04/16"	5.29	1265	2.70	8.30	1.20
	"Alabama"	"01"	"Apr 17, 2011"	"2011/04/17"	7.33	1265	3.50	10.90	1.13
	"Alabama"	"01"	"Apr 18, 2011"	"2011/04/18"	10.07	1265	6.40	12.90	0.99
	"Alabama"	"01"	"Apr 19, 2011"	"2011/04/19"	11.69	1265	6.80	15.80	2.10
	"Alabama"	"01"	"Apr 20, 2011"	"2011/04/20"	4.79	1265	1.70	10.00	2.45
	"Alabama"	"01"	"Apr 21, 2011"	"2011/04/21"	7.87	1265	4.50	10.80	1.30
	"Alabama"	"01"	"Apr 22, 2011"	"2011/04/22"	12.95	1265	10.00	17.30	2.39
	"Alabama"	"01"	"Apr 23, 2011"	"2011/04/23"	9.48	1265	8.70	11.10	0.46
	"Alabama"	"01"	"Apr 24, 2011"	"2011/04/24"	9.01	1265	6.80	11.50	1.04
	"Alabama"	"01"	"Apr 25, 2011"	"2011/04/25"	11.31	1265	9.20	12.90	0.63
	"Alabama"	"01"	"Apr 26, 2011"	"2011/04/26"	9.25	1265	6.10	12.90	1.65
	"Alabama"	"01"	"Apr 27, 2011"	"2011/04/27"	10.46	1265	6.90	13.50	1.59
	"Alabama"	"01"	"Apr 28, 2011"	"2011/04/28"	5.86	1265	2.60	10.00	1.17
	"Alabama"	"01"	"Apr 29, 2011"	"2011/04/29"	7.37	1265	5.50	9.80	1.03
	"Alabama"	"01"	"Apr 30, 2011"	"2011/04/30"	10.76	1265	5.50	15.80	1.98
	"Alabama"	"01"	"May 01, 2011"	"2011/05/01"	9.32	1265	4.30	13.30	2.47
	"Alabama"	"01"	"May 02, 2011"	"2011/05/02"	12.99	1265	10.70	13.90	0.75
	"Alabama"	"01"	"May 03, 2011"	"2011/05/03"	5.97	1265	3.60	9.20	1.13
	"Alabama"	"01"	"May 04, 2011"	"2011/05/04"	7.01	1265	6.10	8.60	0.52
	"Alabama"	"01"	"May 05, 2011"	"2011/05/05"	11.09	1265	8.00	14.50	1.92
	"Alabama"	"01"	"May 06, 2011"	"2011/05/06"	11.00	1265	8.50	13.80	1.37
	"Alabama"	"01"	"May 07, 2011"	"2011/05/07"	19.11	1265	13.60	30.70	3.70
	"Alabama"	"01"	"May 08, 2011"	"2011/05/08"	17.60	1265	14.40	23.90	2.10
	"Alabama"	"01"	"May 09, 2011"	"2011/05/09"	16.65	1265	11.20	21.80	2.58
	"Alabama"	"01"	"May 10, 2011"	"2011/05/10"	18.95	1265	12.10	23.10	2.95
	"Alabama"	"01"	"May 11, 2011"	"2011/05/11"	15.41	1265	7.80	19.30	3.38
	"Alabama"	"01"	"May 12, 2011"	"2011/05/12"	15.60	1265	10.50	21.10	2.50
	"Alabama"	"01"	"May 13, 2011"	"2011/05/13"	15.79	1265	10.40	24.50	3.66
	"Alabama"	"01"	"May 14, 2011"	"2011/05/14"	6.91	1265	4.30	9.80	1.31
	"Alabama"	"01"	"May 15, 2011"	"2011/05/15"	4.26	1265	3.10	6.50	0.58
	"Alabama"	"01"	"May 16, 2011"	"2011/05/16"	7.04	1265	1.20	11.50	2.96
	"Alabama"	"01"	"May 17, 2011"	"2011/05/17"	9.61	1265	6.30	11.70	1.33
	"Alabama"	"01"	"May 18, 2011"	"2011/05/18"	11.97	1265	9.10	13.70	0.95
	"Alabama"	"01"	"May 19, 2011"	"2011/05/19"	14.81	1265	9.30	23.00	3.27
	"Alabama"	"01"	"May 20, 2011"	"2011/05/20"	16.18	1265	11.40	19.60	1.69
	"Alabama"	"01"	"May 21, 2011"	"2011/05/21"	17.54	1265	11.30	21.90	2.29
	"Alabama"	"01"	"May 22, 2011"	"2011/05/22"	21.10	1265	15.50	26.20	2.84
	"Alabama"	"01"	"May 23, 2011"	"2011/05/23"	17.61	1265	11.40	22.40	2.65
	"Alabama"	"01"	"May 24, 2011"	"2011/05/24"	13.62	1265	6.60	16.90	2.56
	"Alabama"	"01"	"May 25, 2011"	"2011/05/25"	11.41	1265	4.10	16.30	2.66
	"Alabama"	"01"	"May 26, 2011"	"2011/05/26"	16.39	1265	14.00	22.80	1.76
	"Alabama"	"01"	"May 27, 2011"	"2011/05/27"	9.23	1265	5.50	12.20	1.53
	"Alabama"	"01"	"May 28, 2011"	"2011/05/28"	14.06	1265	12.10	17.20	1.14
	"Alabama"	"01"	"May 29, 2011"	"2011/05/29"	14.88	1265	12.20	19.40	1.67
	"Alabama"	"01"	"May 30, 2011"	"2011/05/30"	14.76	1265	5.10	19.10	2.89
	"Alabama"	"01"	"May 31, 2011"	"2011/05/31"	20.33	1265	16.10	23.10	1.50
	"Alabama"	"01"	"Jun 01, 2011"	"2011/06/01"	24.61	1265	21.10	30.90	1.58
	"Alabama"	"01"	"Jun 02, 2011"	"2011/06/02"	27.23	1265	17.10	37.70	5.24
	"Alabama"	"01"	"Jun 03, 2011"	"2011/06/03"	35.15	1265	30.80	39.10	1.41
	"Alabama"	"01"	"Jun 04, 2011"	"2011/06/04"	29.47	1265	16.10	46.40	7.46
	"Alabama"	"01"	"Jun 05, 2011"	"2011/06/05"	25.63	1265	17.90	30.60	2.99
	"Alabama"	"01"	"Jun 06, 2011"	"2011/06/06"	16.77	1265	13.50	24.60	2.77
	"Alabama"	"01"	"Jun 07, 2011"	"2011/06/07"	29.84	1265	22.60	41.30	4.51
	"Alabama"	"01"	"Jun 08, 2011"	"2011/06/08"	22.33	1265	12.30	27.40	2.38
	"Alabama"	"01"	"Jun 09, 2011"	"2011/06/09"	23.79	1265	18.70	28.10	1.84
	"Alabama"	"01"	"Jun 10, 2011"	"2011/06/10"	27.02	1265	20.90	32.70	2.77
	"Alabama"	"01"	"Jun 11, 2011"	"2011/06/11"	19.98	1265	16.60	22.80	1.21
	"Alabama"	"01"	"Jun 12, 2011"	"2011/06/12"	20.93	1265	12.20	26.00	3.69
	"Alabama"	"01"	"Jun 13, 2011"	"2011/06/13"	22.49	1265	14.60	28.90	3.63
	"Alabama"	"01"	"Jun 14, 2011"	"2011/06/14"	20.65	1265	17.90	24.20	1.28
	"Alabama"	"01"	"Jun 15, 2011"	"2011/06/15"	24.46	1265	19.00	27.30	1.83
	"Alabama"	"01"	"Jun 16, 2011"	"2011/06/16"	18.81	1265	14.70	32.00	3.96
	"Alabama"	"01"	"Jun 17, 2011"	"2011/06/17"	9.12	1265	5.10	11.30	1.44
	"Alabama"	"01"	"Jun 18, 2011"	"2011/06/18"	12.60	1265	8.40	16.60	1.56
	"Alabama"	"01"	"Jun 19, 2011"	"2011/06/19"	12.42	1265	9.20	18.10	2.00
	"Alabama"	"01"	"Jun 20, 2011"	"2011/06/20"	8.79	1265	6.10	13.40	1.46
	"Alabama"	"01"	"Jun 21, 2011"	"2011/06/21"	10.71	1265	7.10	14.40	2.25
	"Alabama"	"01"	"Jun 22, 2011"	"2011/06/22"	12.03	1265	4.90	24.30	4.31
	"Alabama"	"01"	"Jun 23, 2011"	"2011/06/23"	6.95	1265	4.20	8.90	0.93
	"Alabama"	"01"	"Jun 24, 2011"	"2011/06/24"	9.06	1265	5.10	14.60	2.52
	"Alabama"	"01"	"Jun 25, 2011"	"2011/06/25"	12.89	1265	10.50	15.50	1.28
	"Alabama"	"01"	"Jun 26, 2011"	"2011/06/26"	9.41	1265	4.80	12.00	1.31
	"Alabama"	"01"	"Jun 27, 2011"	"2011/06/27"	14.44	1265	11.40	18.30	1.15
	"Alabama"	"01"	"Jun 28, 2011"	"2011/06/28"	16.81	1265	9.80	25.10	3.33
	"Alabama"	"01"	"Jun 29, 2011"	"2011/06/29"	13.43	1265	9.10	18.00	2.21
	"Alabama"	"01"	"Jun 30, 2011"	"2011/06/30"	17.13	1265	14.10	22.00	1.63
	"Alabama"	"01"	"Jul 01, 2011"	"2011/07/01"	18.94	1265	13.10	27.80	3.13
	"Alabama"	"01"	"Jul 02, 2011"	"2011/07/02"	18.70	1265	9.90	26.40	3.27
	"Alabama"	"01"	"Jul 03, 2011"	"2011/07/03"	26.39	1265	19.20	32.30	3.23
	"Alabama"	"01"	"Jul 04, 2011"	"2011/07/04"	23.32	1265	20.00	28.90	1.91
	"Alabama"	"01"	"Jul 05, 2011"	"2011/07/05"	13.80	1265	10.10	18.50	2.08
	"Alabama"	"01"	"Jul 06, 2011"	"2011/07/06"	19.39	1265	15.40	28.40	2.97
	"Alabama"	"01"	"Jul 07, 2011"	"2011/07/07"	22.63	1265	17.00	28.20	3.47
	"Alabama"	"01"	"Jul 08, 2011"	"2011/07/08"	17.73	1265	11.40	21.80	1.97
	"Alabama"	"01"	"Jul 09, 2011"	"2011/07/09"	24.33	1265	14.90	30.10	4.22
	"Alabama"	"01"	"Jul 10, 2011"	"2011/07/10"	19.23	1265	12.70	21.70	1.29
	"Alabama"	"01"	"Jul 11, 2011"	"2011/07/11"	15.11	1265	6.00	18.90	2.27
	"Alabama"	"01"	"Jul 12, 2011"	"2011/07/12"	20.30	1265	16.40	24.50	2.50
	"Alabama"	"01"	"Jul 13, 2011"	"2011/07/13"	18.43	1265	14.20	26.60	3.47
	"Alabama"	"01"	"Jul 14, 2011"	"2011/07/14"	13.02	1265	8.40	15.30	1.30
	"Alabama"	"01"	"Jul 15, 2011"	"2011/07/15"	16.74	1265	14.10	20.00	1.44
	"Alabama"	"01"	"Jul 16, 2011"	"2011/07/16"	6.61	1265	1.50	12.90	3.32
	"Alabama"	"01"	"Jul 17, 2011"	"2011/07/17"	5.99	1265	3.50	10.10	1.73
	"Alabama"	"01"	"Jul 18, 2011"	"2011/07/18"	15.60	1265	13.30	18.90	1.34
	"Alabama"	"01"	"Jul 19, 2011"	"2011/07/19"	17.92	1265	12.80	21.50	2.03
	"Alabama"	"01"	"Jul 20, 2011"	"2011/07/20"	16.78	1265	11.50	18.70	1.56
	"Alabama"	"01"	"Jul 21, 2011"	"2011/07/21"	17.18	1265	13.90	18.70	1.02
	"Alabama"	"01"	"Jul 22, 2011"	"2011/07/22"	13.23	1265	10.60	21.10	2.57
	"Alabama"	"01"	"Jul 23, 2011"	"2011/07/23"	7.89	1265	4.30	14.40	2.43
	"Alabama"	"01"	"Jul 24, 2011"	"2011/07/24"	10.09	1265	6.00	14.40	1.98
	"Alabama"	"01"	"Jul 25, 2011"	"2011/07/25"	13.80	1265	11.30	16.40	1.07
	"Alabama"	"01"	"Jul 26, 2011"	"2011/07/26"	13.80	1265	9.40	15.80	1.88
	"Alabama"	"01"	"Jul 27, 2011"	"2011/07/27"	27.68	1265	20.80	35.40	3.63
	"Alabama"	"01"	"Jul 28, 2011"	"2011/07/28"	8.77	1265	4.90	15.30	2.54
	"Alabama"	"01"	"Jul 29, 2011"	"2011/07/29"	8.08	1265	6.50	10.20	0.87
	"Alabama"	"01"	"Jul 30, 2011"	"2011/07/30"	11.32	1265	7.90	13.40	0.88
	"Alabama"	"01"	"Jul 31, 2011"	"2011/07/31"	11.84	1265	7.30	16.00	2.02
	"Alabama"	"01"	"Aug 01, 2011"	"2011/08/01"	14.71	1265	10.00	17.90	2.31
	"Alabama"	"01"	"Aug 02, 2011"	"2011/08/02"	24.46	1265	16.90	30.70	3.22
	"Alabama"	"01"	"Aug 03, 2011"	"2011/08/03"	24.92	1265	20.20	30.40	2.58
	"Alabama"	"01"	"Aug 04, 2011"	"2011/08/04"	11.72	1265	4.40	18.90	4.07
	"Alabama"	"01"	"Aug 05, 2011"	"2011/08/05"	17.27	1265	7.20	24.70	4.06
	"Alabama"	"01"	"Aug 06, 2011"	"2011/08/06"	16.75	1265	13.40	19.90	1.54
	"Alabama"	"01"	"Aug 07, 2011"	"2011/08/07"	15.51	1265	11.00	18.30	1.52
	"Alabama"	"01"	"Aug 08, 2011"	"2011/08/08"	11.46	1265	7.00	16.10	1.91
	"Alabama"	"01"	"Aug 09, 2011"	"2011/08/09"	11.62	1265	5.20	16.50	2.60
	"Alabama"	"01"	"Aug 10, 2011"	"2011/08/10"	10.13	1265	7.80	12.30	0.98
	"Alabama"	"01"	"Aug 11, 2011"	"2011/08/11"	12.38	1265	8.70	15.60	1.52
	"Alabama"	"01"	"Aug 12, 2011"	"2011/08/12"	14.24	1265	9.40	18.60	1.85
	"Alabama"	"01"	"Aug 13, 2011"	"2011/08/13"	13.03	1265	9.70	16.90	1.78
	"Alabama"	"01"	"Aug 14, 2011"	"2011/08/14"	10.22	1265	8.60	12.50	0.63
	"Alabama"	"01"	"Aug 15, 2011"	"2011/08/15"	9.20	1265	7.20	10.90	0.75
	"Alabama"	"01"	"Aug 16, 2011"	"2011/08/16"	12.13	1265	9.60	14.60	1.15
	"Alabama"	"01"	"Aug 17, 2011"	"2011/08/17"	20.38	1265	17.90	24.20	1.09
	"Alabama"	"01"	"Aug 18, 2011"	"2011/08/18"	24.15	1265	19.50	31.60	2.50
	"Alabama"	"01"	"Aug 19, 2011"	"2011/08/19"	20.75	1265	14.20	26.50	2.57
	"Alabama"	"01"	"Aug 20, 2011"	"2011/08/20"	23.18	1265	19.10	27.20	2.04
	"Alabama"	"01"	"Aug 21, 2011"	"2011/08/21"	22.66	1265	18.20	30.30	2.79
	"Alabama"	"01"	"Aug 22, 2011"	"2011/08/22"	15.48	1265	12.30	17.60	1.08
	"Alabama"	"01"	"Aug 23, 2011"	"2011/08/23"	13.76	1265	10.40	17.00	1.62
	"Alabama"	"01"	"Aug 24, 2011"	"2011/08/24"	15.52	1265	11.70	19.30	1.68
	"Alabama"	"01"	"Aug 25, 2011"	"2011/08/25"	17.39	1265	10.40	25.00	3.01
	"Alabama"	"01"	"Aug 26, 2011"	"2011/08/26"	20.40	1265	16.80	27.50	2.17
	"Alabama"	"01"	"Aug 27, 2011"	"2011/08/27"	13.70	1265	10.80	18.10	1.35
	"Alabama"	"01"	"Aug 28, 2011"	"2011/08/28"	14.18	1265	12.90	16.70	0.68
	"Alabama"	"01"	"Aug 29, 2011"	"2011/08/29"	13.28	1265	11.90	16.00	0.73
	"Alabama"	"01"	"Aug 30, 2011"	"2011/08/30"	17.73	1265	12.80	22.60	2.29
	"Alabama"	"01"	"Aug 31, 2011"	"2011/08/31"	22.22	1265	11.20	28.50	3.40
	"Alabama"	"01"	"Sep 01, 2011"	"2011/09/01"	22.65	1265	19.20	26.30	1.67
	"Alabama"	"01"	"Sep 02, 2011"	"2011/09/02"	22.64	1265	19.10	27.00	1.57
	"Alabama"	"01"	"Sep 03, 2011"	"2011/09/03"	14.32	1265	6.00	23.10	4.59
	"Alabama"	"01"	"Sep 04, 2011"	"2011/09/04"	3.79	1265	0.00	13.30	4.56
	"Alabama"	"01"	"Sep 05, 2011"	"2011/09/05"	3.14	1265	0.00	8.20	1.74
	"Alabama"	"01"	"Sep 06, 2011"	"2011/09/06"	4.29	1265	0.00	7.30	1.40
	"Alabama"	"01"	"Sep 07, 2011"	"2011/09/07"	8.40	1265	6.90	9.50	0.56
	"Alabama"	"01"	"Sep 08, 2011"	"2011/09/08"	9.05	1265	8.00	11.20	0.68
	"Alabama"	"01"	"Sep 09, 2011"	"2011/09/09"	10.20	1265	8.30	11.30	0.76
	"Alabama"	"01"	"Sep 10, 2011"	"2011/09/10"	13.17	1265	10.60	18.20	1.59
	"Alabama"	"01"	"Sep 11, 2011"	"2011/09/11"	20.00	1265	16.00	23.60	1.50
	"Alabama"	"01"	"Sep 12, 2011"	"2011/09/12"	17.94	1265	14.00	21.60	2.02
	"Alabama"	"01"	"Sep 13, 2011"	"2011/09/13"	23.04	1265	19.80	27.80	1.92
	"Alabama"	"01"	"Sep 14, 2011"	"2011/09/14"	21.09	1265	18.40	25.70	1.82
	"Alabama"	"01"	"Sep 15, 2011"	"2011/09/15"	10.95	1265	7.50	16.80	2.60
	"Alabama"	"01"	"Sep 16, 2011"	"2011/09/16"	9.11	1265	8.20	9.90	0.33
	"Alabama"	"01"	"Sep 17, 2011"	"2011/09/17"	12.69	1265	10.20	18.90	1.77
	"Alabama"	"01"	"Sep 18, 2011"	"2011/09/18"	13.01	1265	8.40	17.90	2.59
	"Alabama"	"01"	"Sep 19, 2011"	"2011/09/19"	12.67	1265	7.10	17.40	2.15
	"Alabama"	"01"	"Sep 20, 2011"	"2011/09/20"	10.44	1265	7.00	15.30	2.45
	"Alabama"	"01"	"Sep 21, 2011"	"2011/09/21"	8.03	1265	5.10	12.00	1.94
	"Alabama"	"01"	"Sep 22, 2011"	"2011/09/22"	12.35	1265	9.50	15.20	1.06
