"Notes"	"State"	"State Code"	"Month Day, Year"	"Month Day, Year Code"	Avg Daily Max Air Temperature (F)	Record Count for Daily Max Air Temp (F)	Min Temp for Daily Max Air Temp (F)	Max Temp for Daily Max Air Temp (F)	Avg Daily Min Air Temperature (F)	Record Count for Daily Min Air Temp (F)	Min Temp for Daily Min Air Temp (F)	Max Temp for Daily Min Air Temp (F)	Avg Daily Max Heat Index (F)	Record Count for Daily Max Heat Index (F)	Min for Daily Max Heat Index (F)	Max for Daily Max Heat Index (F)
	"Alabama"	"01"	"Mar 16, 2011"	"2011/03/16"	64.21	822	56.40	71.70	43.30	822	36.90	57.70	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 17, 2011"	"2011/03/17"	75.68	822	66.60	80.70	44.12	822	40.90	61.20	79.53	24	79.30	79.70
	"Alabama"	"01"	"Mar 18, 2011"	"2011/03/18"	80.64	822	67.60	84.20	51.16	822	46.60	63.20	81.35	557	80.10	83.50
	"Alabama"	"01"	"Mar 19, 2011"	"2011/03/19"	79.39	822	67.80	85.10	55.63	822	52.30	64.20	83.12	488	81.10	85.30
	"Alabama"	"01"	"Mar 20, 2011"	"2011/03/20"	81.95	822	68.10	84.50	56.36	822	50.90	64.80	82.64	701	80.50	84.60
	"Alabama"	"01"	"Mar 21, 2011"	"2011/03/21"	80.08	822	68.60	83.90	53.62	822	50.20	63.70	81.35	455	79.90	84.20
	"Alabama"	"01"	"Mar 22, 2011"	"2011/03/22"	80.46	822	68.30	83.70	54.78	822	50.30	65.60	81.22	506	79.60	83.00
	"Alabama"	"01"	"Mar 23, 2011"	"2011/03/23"	81.90	822	68.40	85.90	56.82	822	51.50	66.00	83.50	627	80.40	85.90
	"Alabama"	"01"	"Mar 24, 2011"	"2011/03/24"	67.09	822	55.50	78.20	42.59	822	35.60	64.40	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 25, 2011"	"2011/03/25"	68.70	822	53.10	79.90	37.18	822	32.40	61.10	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 26, 2011"	"2011/03/26"	77.97	822	59.80	85.20	53.30	822	44.30	67.70	83.41	366	81.20	86.70
	"Alabama"	"01"	"Mar 27, 2011"	"2011/03/27"	72.65	822	58.60	83.30	56.76	822	40.70	69.30	83.50	130	81.30	85.50
	"Alabama"	"01"	"Mar 28, 2011"	"2011/03/28"	70.78	822	58.20	81.70	52.20	822	39.80	69.10	82.83	20	81.40	84.30
	"Alabama"	"01"	"Mar 29, 2011"	"2011/03/29"	72.50	822	64.40	81.60	48.63	822	39.20	67.40	82.76	48	81.90	83.50
	"Alabama"	"01"	"Mar 30, 2011"	"2011/03/30"	71.83	822	56.20	77.90	51.42	822	40.80	66.20	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 31, 2011"	"2011/03/31"	61.40	822	50.60	71.80	45.64	822	37.80	60.10	Missing	0	Missing	Missing
	"Alabama"	"01"	"Apr 01, 2011"	"2011/04/01"	64.35	822	52.10	77.50	45.99	822	37.30	63.10	Missing	0	Missing	Missing
	"Alabama"	"01"	"Apr 02, 2011"	"2011/04/02"	72.76	822	61.30	80.70	47.89	822	38.40	67.60	80.54	34	80.20	81.00
	"Alabama"	"01"	"Apr 03, 2011"	"2011/04/03"	81.20	822	71.60	85.90	46.85	822	41.10	68.10	82.27	546	79.70	84.70
	"Alabama"	"01"	"Apr 04, 2011"	"2011/04/04"	84.94	822	73.00	89.60	51.30	822	42.70	67.50	87.05	793	81.30	92.90
	"Alabama"	"01"	"Apr 05, 2011"	"2011/04/05"	60.79	822	52.40	71.00	42.33	822	36.30	52.60	Missing	0	Missing	Missing
	"Alabama"	"01"	"Apr 06, 2011"	"2011/04/06"	69.29	822	62.80	73.70	39.32	822	32.90	60.40	Missing	0	Missing	Missing
	"Alabama"	"01"	"Apr 07, 2011"	"2011/04/07"	78.01	822	69.30	85.50	46.29	822	41.50	66.90	83.34	291	80.60	86.40
	"Alabama"	"01"	"Apr 08, 2011"	"2011/04/08"	85.50	822	72.90	89.90	61.36	822	55.20	70.00	90.30	805	82.50	95.70
	"Alabama"	"01"	"Apr 09, 2011"	"2011/04/09"	87.86	822	72.40	91.70	65.30	822	60.80	70.10	89.94	816	83.30	93.80
	"Alabama"	"01"	"Apr 10, 2011"	"2011/04/10"	88.56	822	73.10	92.10	62.35	822	57.70	69.90	89.92	816	83.40	93.00
	"Alabama"	"01"	"Apr 11, 2011"	"2011/04/11"	86.55	822	73.30	91.40	60.82	822	55.00	70.20	88.13	816	81.40	92.20
	"Alabama"	"01"	"Apr 12, 2011"	"2011/04/12"	72.27	822	62.90	79.80	51.14	822	45.70	67.50	Missing	0	Missing	Missing
	"Alabama"	"01"	"Apr 13, 2011"	"2011/04/13"	75.02	822	66.70	81.20	46.30	822	43.00	63.70	79.57	45	79.30	79.90
	"Alabama"	"01"	"Apr 14, 2011"	"2011/04/14"	78.21	822	71.00	83.30	50.62	822	47.30	67.90	80.48	272	79.60	82.10
	"Alabama"	"01"	"Apr 15, 2011"	"2011/04/15"	79.86	822	69.90	85.60	55.17	822	50.30	70.60	84.17	455	81.00	87.00
	"Alabama"	"01"	"Apr 16, 2011"	"2011/04/16"	66.57	822	53.50	75.50	46.25	822	42.80	65.00	Missing	0	Missing	Missing
	"Alabama"	"01"	"Apr 17, 2011"	"2011/04/17"	71.28	822	64.90	77.40	42.43	822	38.80	61.10	Missing	0	Missing	Missing
	"Alabama"	"01"	"Apr 18, 2011"	"2011/04/18"	80.64	822	72.40	85.90	45.93	822	39.60	65.90	83.64	495	79.70	88.30
	"Alabama"	"01"	"Apr 19, 2011"	"2011/04/19"	86.21	822	74.10	90.50	59.63	822	52.20	71.50	87.98	815	81.80	92.80
	"Alabama"	"01"	"Apr 20, 2011"	"2011/04/20"	82.99	822	73.50	90.20	63.51	822	55.80	70.50	88.23	528	82.00	94.00
	"Alabama"	"01"	"Apr 21, 2011"	"2011/04/21"	81.67	822	72.60	90.00	64.81	822	57.60	70.10	86.15	478	81.70	89.80
	"Alabama"	"01"	"Apr 22, 2011"	"2011/04/22"	86.23	822	74.00	90.60	62.94	822	59.30	71.50	87.32	815	81.80	90.70
	"Alabama"	"01"	"Apr 23, 2011"	"2011/04/23"	85.17	822	73.60	91.20	60.22	822	55.80	71.50	85.52	802	81.20	89.00
	"Alabama"	"01"	"Apr 24, 2011"	"2011/04/24"	86.15	822	73.80	91.50	61.28	822	57.10	71.20	86.71	811	81.10	91.20
	"Alabama"	"01"	"Apr 25, 2011"	"2011/04/25"	84.06	822	74.70	88.40	62.88	822	58.10	72.10	86.89	797	82.20	91.40
	"Alabama"	"01"	"Apr 26, 2011"	"2011/04/26"	83.37	822	75.50	89.70	64.29	822	60.70	73.10	85.61	747	81.20	89.10
	"Alabama"	"01"	"Apr 27, 2011"	"2011/04/27"	86.65	822	76.60	92.40	66.01	822	56.20	74.50	92.03	762	83.10	98.60
	"Alabama"	"01"	"Apr 28, 2011"	"2011/04/28"	71.15	822	61.80	81.60	50.76	822	47.30	67.40	80.42	13	79.80	80.80
	"Alabama"	"01"	"Apr 29, 2011"	"2011/04/29"	77.93	822	71.20	83.00	47.92	822	44.30	65.10	79.83	177	79.30	80.90
	"Alabama"	"01"	"Apr 30, 2011"	"2011/04/30"	82.51	822	74.80	89.30	52.99	822	47.40	69.90	82.88	584	80.10	86.70
	"Alabama"	"01"	"May 01, 2011"	"2011/05/01"	85.90	822	76.60	91.30	56.47	822	52.80	72.10	86.60	797	81.10	91.30
	"Alabama"	"01"	"May 02, 2011"	"2011/05/02"	86.79	822	76.40	91.20	60.86	822	54.00	73.30	89.78	816	83.30	93.70
	"Alabama"	"01"	"May 03, 2011"	"2011/05/03"	77.45	822	54.70	91.40	47.91	822	41.40	60.20	88.78	367	82.20	93.20
	"Alabama"	"01"	"May 04, 2011"	"2011/05/04"	68.00	822	57.40	76.20	42.89	822	38.10	58.90	Missing	0	Missing	Missing
	"Alabama"	"01"	"May 05, 2011"	"2011/05/05"	70.63	822	63.70	78.70	40.52	822	37.30	63.40	Missing	0	Missing	Missing
	"Alabama"	"01"	"May 06, 2011"	"2011/05/06"	74.01	822	66.10	81.30	48.53	822	43.30	66.10	79.53	17	79.20	79.80
	"Alabama"	"01"	"May 07, 2011"	"2011/05/07"	81.47	822	72.70	88.20	53.61	822	48.60	70.30	82.62	500	79.80	85.80
	"Alabama"	"01"	"May 08, 2011"	"2011/05/08"	88.19	822	76.00	94.00	57.06	822	53.30	71.10	91.03	820	83.30	94.20
	"Alabama"	"01"	"May 09, 2011"	"2011/05/09"	89.79	822	75.50	95.10	66.30	822	61.10	71.30	92.75	819	84.10	96.60
	"Alabama"	"01"	"May 10, 2011"	"2011/05/10"	90.65	822	75.60	97.00	66.18	822	61.00	71.10	92.57	820	83.10	97.30
	"Alabama"	"01"	"May 11, 2011"	"2011/05/11"	90.42	822	77.20	97.00	64.02	822	58.30	73.80	91.53	820	84.20	95.10
	"Alabama"	"01"	"May 12, 2011"	"2011/05/12"	88.87	822	77.60	95.60	63.59	822	59.50	74.10	91.13	820	83.60	94.50
	"Alabama"	"01"	"May 13, 2011"	"2011/05/13"	84.88	822	76.10	93.80	63.22	822	59.30	75.30	88.16	647	82.60	92.70
	"Alabama"	"01"	"May 14, 2011"	"2011/05/14"	75.66	822	62.60	83.60	58.23	822	53.80	70.10	81.99	157	80.10	84.90
	"Alabama"	"01"	"May 15, 2011"	"2011/05/15"	67.42	822	58.90	74.30	55.19	822	49.90	64.20	Missing	0	Missing	Missing
	"Alabama"	"01"	"May 16, 2011"	"2011/05/16"	64.78	822	56.20	72.40	52.76	822	48.50	62.40	Missing	0	Missing	Missing
	"Alabama"	"01"	"May 17, 2011"	"2011/05/17"	66.37	822	57.60	73.40	48.56	822	45.20	60.20	Missing	0	Missing	Missing
	"Alabama"	"01"	"May 18, 2011"	"2011/05/18"	70.88	822	59.00	80.10	47.21	822	43.80	65.50	78.90	3	78.90	78.90
	"Alabama"	"01"	"May 19, 2011"	"2011/05/19"	81.17	822	68.60	88.90	51.60	822	46.20	70.70	83.01	493	79.90	86.50
	"Alabama"	"01"	"May 20, 2011"	"2011/05/20"	87.74	822	76.70	94.40	58.17	822	54.60	73.00	88.74	810	81.30	95.40
	"Alabama"	"01"	"May 21, 2011"	"2011/05/21"	90.83	822	77.30	97.00	63.15	822	58.50	73.50	91.97	820	84.30	96.60
	"Alabama"	"01"	"May 22, 2011"	"2011/05/22"	91.88	822	77.40	98.40	65.94	822	61.50	74.10	93.42	820	85.30	96.10
	"Alabama"	"01"	"May 23, 2011"	"2011/05/23"	90.69	822	77.90	98.90	63.87	822	59.30	74.40	92.59	820	85.20	97.20
	"Alabama"	"01"	"May 24, 2011"	"2011/05/24"	90.75	822	77.40	97.30	65.94	822	62.10	74.60	92.63	820	84.10	97.10
	"Alabama"	"01"	"May 25, 2011"	"2011/05/25"	91.82	822	77.40	97.60	65.80	822	61.00	74.80	93.15	820	84.90	97.70
	"Alabama"	"01"	"May 26, 2011"	"2011/05/26"	87.72	822	76.50	96.20	64.06	822	58.00	74.70	92.10	720	81.90	96.90
	"Alabama"	"01"	"May 27, 2011"	"2011/05/27"	85.52	822	75.20	93.70	63.23	822	54.90	74.20	89.21	629	81.30	95.10
	"Alabama"	"01"	"May 28, 2011"	"2011/05/28"	91.86	822	77.50	98.50	63.53	822	58.30	73.90	92.48	820	84.20	97.50
	"Alabama"	"01"	"May 29, 2011"	"2011/05/29"	94.25	822	78.30	100.10	67.48	822	62.30	74.90	96.89	821	83.70	101.60
	"Alabama"	"01"	"May 30, 2011"	"2011/05/30"	92.93	822	80.50	97.80	71.77	822	65.40	77.80	97.66	822	86.00	100.30
	"Alabama"	"01"	"May 31, 2011"	"2011/05/31"	94.92	822	81.90	100.60	72.46	822	67.40	78.20	100.56	822	88.40	103.70
	"Alabama"	"01"	"Jun 01, 2011"	"2011/06/01"	97.66	822	86.70	104.80	73.00	822	70.60	79.50	105.76	822	96.10	108.90
	"Alabama"	"01"	"Jun 02, 2011"	"2011/06/02"	98.50	822	83.50	104.60	74.33	822	70.50	78.60	105.67	822	90.90	112.40
	"Alabama"	"01"	"Jun 03, 2011"	"2011/06/03"	97.80	822	84.10	103.50	73.86	822	67.50	80.50	105.49	822	92.20	111.00
	"Alabama"	"01"	"Jun 04, 2011"	"2011/06/04"	98.22	822	86.00	104.90	73.88	822	68.90	80.70	104.00	822	96.30	108.10
	"Alabama"	"01"	"Jun 05, 2011"	"2011/06/05"	96.91	822	83.70	102.60	72.06	822	68.50	80.70	102.05	822	94.00	106.80
	"Alabama"	"01"	"Jun 06, 2011"	"2011/06/06"	95.68	822	84.60	102.90	69.78	822	66.80	80.50	98.33	822	89.70	103.90
	"Alabama"	"01"	"Jun 07, 2011"	"2011/06/07"	96.28	822	83.40	102.60	70.22	822	65.30	80.20	100.31	822	90.20	105.40
	"Alabama"	"01"	"Jun 08, 2011"	"2011/06/08"	94.01	822	82.60	98.60	71.32	822	68.10	79.50	96.85	822	89.10	101.80
	"Alabama"	"01"	"Jun 09, 2011"	"2011/06/09"	94.89	822	84.20	99.90	71.91	822	67.90	78.70	97.11	822	88.20	99.90
	"Alabama"	"01"	"Jun 10, 2011"	"2011/06/10"	94.43	822	84.60	100.10	73.87	822	67.00	80.20	97.12	822	90.20	101.70
	"Alabama"	"01"	"Jun 11, 2011"	"2011/06/11"	94.69	822	84.90	99.60	72.89	822	69.00	80.90	98.08	822	89.30	101.90
	"Alabama"	"01"	"Jun 12, 2011"	"2011/06/12"	92.89	822	84.30	99.00	74.03	822	70.20	81.20	96.86	822	87.70	102.60
	"Alabama"	"01"	"Jun 13, 2011"	"2011/06/13"	95.52	822	83.30	103.00	73.52	822	65.10	81.80	99.93	822	86.20	111.10
	"Alabama"	"01"	"Jun 14, 2011"	"2011/06/14"	96.52	822	84.60	103.80	72.54	822	62.70	83.10	100.95	822	87.00	107.70
	"Alabama"	"01"	"Jun 15, 2011"	"2011/06/15"	97.46	822	86.30	103.70	72.99	822	67.20	81.90	102.53	822	89.70	107.90
	"Alabama"	"01"	"Jun 16, 2011"	"2011/06/16"	94.89	822	84.00	99.20	71.67	822	66.00	81.40	99.96	822	85.40	107.00
	"Alabama"	"01"	"Jun 17, 2011"	"2011/06/17"	91.75	822	80.30	101.70	74.61	822	65.80	81.40	97.53	822	83.40	107.60
	"Alabama"	"01"	"Jun 18, 2011"	"2011/06/18"	98.52	822	84.10	105.10	73.58	822	68.20	82.10	104.30	822	95.10	108.60
	"Alabama"	"01"	"Jun 19, 2011"	"2011/06/19"	98.59	822	84.60	104.60	74.42	822	71.10	82.10	103.58	822	95.00	107.70
	"Alabama"	"01"	"Jun 20, 2011"	"2011/06/20"	97.24	822	84.10	102.40	74.27	822	70.60	81.80	102.77	822	94.20	108.40
	"Alabama"	"01"	"Jun 21, 2011"	"2011/06/21"	93.74	822	84.10	100.90	73.99	822	70.30	80.70	98.75	822	87.90	105.70
	"Alabama"	"01"	"Jun 22, 2011"	"2011/06/22"	88.56	822	78.90	98.80	72.40	822	68.60	80.50	94.28	813	82.00	103.60
	"Alabama"	"01"	"Jun 23, 2011"	"2011/06/23"	91.37	822	83.90	96.50	73.51	822	69.10	80.10	96.20	822	87.60	101.40
	"Alabama"	"01"	"Jun 24, 2011"	"2011/06/24"	94.58	822	83.10	100.30	71.39	822	67.50	81.00	98.77	822	89.30	103.40
	"Alabama"	"01"	"Jun 25, 2011"	"2011/06/25"	94.25	822	84.30	98.90	72.77	822	66.70	80.70	99.77	822	89.10	105.40
	"Alabama"	"01"	"Jun 26, 2011"	"2011/06/26"	96.14	822	83.40	102.00	74.92	822	69.00	80.70	102.75	822	92.00	107.60
	"Alabama"	"01"	"Jun 27, 2011"	"2011/06/27"	96.76	822	85.10	102.00	75.71	822	69.20	82.20	103.52	822	94.80	108.60
	"Alabama"	"01"	"Jun 28, 2011"	"2011/06/28"	93.07	822	80.00	101.40	73.36	822	68.30	81.20	101.52	822	84.10	111.30
	"Alabama"	"01"	"Jun 29, 2011"	"2011/06/29"	94.00	822	83.80	99.60	70.50	822	65.10	80.00	96.71	822	86.00	101.90
