"Notes"	"State"	"State Code"	"Month, Year"	"Month, Year Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight	Min Daily Sunlight	Max Daily Sunlight
	"Alabama"	"01"	"Apr, 1982"	"1982/04"	18452.10	24660	4599.50	27761.10
	"Alabama"	"01"	"May, 1982"	"1982/05"	23018.79	25482	8262.80	30932.20
	"Alabama"	"01"	"Jun, 1982"	"1982/06"	23130.95	24660	10036.40	32382.10
	"Alabama"	"01"	"Jul, 1982"	"1982/07"	20058.89	25482	8659.00	34627.80
	"Alabama"	"01"	"Aug, 1982"	"1982/08"	19050.56	25482	10341.30	29782.20
	"Alabama"	"01"	"Sep, 1982"	"1982/09"	17888.68	24660	6844.90	25856.90
	"Alabama"	"01"	"Oct, 1982"	"1982/10"	15018.20	25482	4352.70	21492.70
	"Alabama"	"01"	"Nov, 1982"	"1982/11"	10307.72	24660	2124.80	18301.40
	"Alabama"	"01"	"Dec, 1982"	"1982/12"	8870.62	25482	2094.10	14369.10
	"Alabama"	"01"	"Jan, 1983"	"1983/01"	9515.62	25482	2056.60	16281.30
	"Alabama"	"01"	"Feb, 1983"	"1983/02"	11386.64	23016	2739.60	20467.70
	"Alabama"	"01"	"Mar, 1983"	"1983/03"	15660.49	25482	4181.60	25327.50
	"Alabama"	"01"	"Apr, 1983"	"1983/04"	20276.98	24660	5685.30	28423.30
	"Alabama"	"01"	"May, 1983"	"1983/05"	23322.60	25482	7378.10	31333.00
	"Alabama"	"01"	"Jun, 1983"	"1983/06"	20855.60	24660	8312.70	31734.40
	"Alabama"	"01"	"Jul, 1983"	"1983/07"	24090.38	25482	8714.50	35030.70
	"Alabama"	"01"	"Aug, 1983"	"1983/08"	20652.61	25482	10210.80	29366.30
	"Alabama"	"01"	"Sep, 1983"	"1983/09"	17997.98	24660	7106.50	25498.60
	"Alabama"	"01"	"Oct, 1983"	"1983/10"	15496.71	25482	3223.60	23057.50
	"Alabama"	"01"	"Nov, 1983"	"1983/11"	10712.01	24660	2476.80	17526.80
	"Alabama"	"01"	"Dec, 1983"	"1983/12"	9020.90	25482	2522.80	14760.20
	"Alabama"	"01"	"Jan, 1984"	"1984/01"	10040.36	25482	2358.70	16461.10
	"Alabama"	"01"	"Feb, 1984"	"1984/02"	12770.75	23838	3257.90	20483.10
	"Alabama"	"01"	"Mar, 1984"	"1984/03"	16722.84	25482	3737.80	24909.00
	"Alabama"	"01"	"Apr, 1984"	"1984/04"	19286.02	24660	5771.80	28212.50
	"Alabama"	"01"	"May, 1984"	"1984/05"	23698.69	25482	8926.70	32305.00
	"Alabama"	"01"	"Jun, 1984"	"1984/06"	23352.36	24660	12326.80	32643.60
	"Alabama"	"01"	"Jul, 1984"	"1984/07"	21740.97	25482	8263.70	34298.00
	"Alabama"	"01"	"Aug, 1984"	"1984/08"	19736.79	25482	8904.40	29661.50
	"Alabama"	"01"	"Sep, 1984"	"1984/09"	19194.17	24660	6522.30	26397.10
	"Alabama"	"01"	"Oct, 1984"	"1984/10"	14594.67	25482	4801.60	23730.30
	"Alabama"	"01"	"Nov, 1984"	"1984/11"	11393.32	24660	2791.90	17882.90
	"Alabama"	"01"	"Dec, 1984"	"1984/12"	9432.32	25482	2387.10	14611.50
	"Alabama"	"01"	"Jan, 1985"	"1985/01"	9466.08	25482	1832.40	16622.30
	"Alabama"	"01"	"Feb, 1985"	"1985/02"	11530.22	23016	2532.10	20498.70
	"Alabama"	"01"	"Mar, 1985"	"1985/03"	15913.88	25482	3744.30	24737.00
	"Alabama"	"01"	"Apr, 1985"	"1985/04"	20271.04	24660	5209.40	27070.40
	"Alabama"	"01"	"May, 1985"	"1985/05"	22669.82	25482	6990.20	31623.30
	"Alabama"	"01"	"Jun, 1985"	"1985/06"	22839.46	24660	8638.30	32432.20
	"Alabama"	"01"	"Jul, 1985"	"1985/07"	20901.21	25482	10017.60	33709.70
	"Alabama"	"01"	"Aug, 1985"	"1985/08"	18863.50	25482	5940.50	29360.80
	"Alabama"	"01"	"Sep, 1985"	"1985/09"	17157.22	24660	6041.20	25333.80
	"Alabama"	"01"	"Oct, 1985"	"1985/10"	13388.52	25482	3656.60	22999.70
	"Alabama"	"01"	"Nov, 1985"	"1985/11"	10335.18	24660	2457.30	18095.80
	"Alabama"	"01"	"Dec, 1985"	"1985/12"	9671.99	25482	2234.80	14548.40
	"Alabama"	"01"	"Jan, 1986"	"1986/01"	10421.85	25482	1939.10	15937.70
	"Alabama"	"01"	"Feb, 1986"	"1986/02"	13003.90	23016	2979.50	20903.50
	"Alabama"	"01"	"Mar, 1986"	"1986/03"	18531.95	25482	4078.50	25249.70
	"Alabama"	"01"	"Apr, 1986"	"1986/04"	21733.39	24660	6769.10	28333.90
	"Alabama"	"01"	"May, 1986"	"1986/05"	21881.80	25482	7628.70	31061.00
	"Alabama"	"01"	"Jun, 1986"	"1986/06"	22458.57	24660	10174.90	32012.50
	"Alabama"	"01"	"Jul, 1986"	"1986/07"	23755.53	25482	13729.90	33650.70
	"Alabama"	"01"	"Aug, 1986"	"1986/08"	19926.79	25482	7207.50	31249.10
	"Alabama"	"01"	"Sep, 1986"	"1986/09"	16428.46	24660	8857.90	25141.50
	"Alabama"	"01"	"Oct, 1986"	"1986/10"	14436.24	25482	3496.90	21431.40
	"Alabama"	"01"	"Nov, 1986"	"1986/11"	8811.69	24660	2500.30	17525.00
	"Alabama"	"01"	"Dec, 1986"	"1986/12"	8223.56	25482	2367.50	14666.30
	"Alabama"	"01"	"Jan, 1987"	"1987/01"	9628.41	25482	2175.10	17008.30
	"Alabama"	"01"	"Feb, 1987"	"1987/02"	10366.84	23016	2638.20	19231.00
	"Alabama"	"01"	"Mar, 1987"	"1987/03"	16709.65	25482	3856.60	23944.90
	"Alabama"	"01"	"Apr, 1987"	"1987/04"	21314.04	24660	6411.70	28679.50
	"Alabama"	"01"	"May, 1987"	"1987/05"	19323.21	25482	10143.60	30568.60
	"Alabama"	"01"	"Jun, 1987"	"1987/06"	21428.16	24660	9047.70	32345.90
	"Alabama"	"01"	"Jul, 1987"	"1987/07"	24716.34	25482	13177.30	34494.10
	"Alabama"	"01"	"Aug, 1987"	"1987/08"	20231.94	25482	7743.00	29950.40
	"Alabama"	"01"	"Sep, 1987"	"1987/09"	17408.90	24660	7102.20	26275.10
	"Alabama"	"01"	"Oct, 1987"	"1987/10"	17689.14	25482	4335.80	23617.30
	"Alabama"	"01"	"Nov, 1987"	"1987/11"	11412.17	24660	3107.30	18348.60
	"Alabama"	"01"	"Dec, 1987"	"1987/12"	9146.56	25482	2306.80	14733.10
	"Alabama"	"01"	"Jan, 1988"	"1988/01"	9789.25	25482	1781.30	16667.50
	"Alabama"	"01"	"Feb, 1988"	"1988/02"	12584.32	23838	2363.10	21025.80
	"Alabama"	"01"	"Mar, 1988"	"1988/03"	17534.15	25482	4459.70	25291.30
	"Alabama"	"01"	"Apr, 1988"	"1988/04"	21271.76	24660	5804.20	28114.10
	"Alabama"	"01"	"May, 1988"	"1988/05"	25759.04	25482	13414.10	31631.50
	"Alabama"	"01"	"Jun, 1988"	"1988/06"	24650.79	24660	10329.20	33046.70
	"Alabama"	"01"	"Jul, 1988"	"1988/07"	21335.72	25482	8098.70	34638.20
	"Alabama"	"01"	"Aug, 1988"	"1988/08"	19266.11	25482	11439.90	28736.90
	"Alabama"	"01"	"Sep, 1988"	"1988/09"	15446.12	24660	6393.30	26563.10
	"Alabama"	"01"	"Oct, 1988"	"1988/10"	15023.67	25482	3908.20	23011.60
	"Alabama"	"01"	"Nov, 1988"	"1988/11"	11193.23	24660	2997.40	18142.10
	"Alabama"	"01"	"Dec, 1988"	"1988/12"	9114.69	25482	1872.00	14923.80
	"Alabama"	"01"	"Jan, 1989"	"1989/01"	9852.99	25482	1784.80	16328.10
	"Alabama"	"01"	"Feb, 1989"	"1989/02"	11248.96	23016	2229.30	21512.10
	"Alabama"	"01"	"Mar, 1989"	"1989/03"	16587.57	25482	4051.40	25054.50
	"Alabama"	"01"	"Apr, 1989"	"1989/04"	19977.22	24660	4916.90	27601.50
	"Alabama"	"01"	"May, 1989"	"1989/05"	23307.59	25482	7113.60	31105.70
	"Alabama"	"01"	"Jun, 1989"	"1989/06"	19829.77	24660	11589.10	31459.60
	"Alabama"	"01"	"Jul, 1989"	"1989/07"	20575.93	25482	8511.30	32065.70
	"Alabama"	"01"	"Aug, 1989"	"1989/08"	19606.13	25482	9736.00	30141.10
	"Alabama"	"01"	"Sep, 1989"	"1989/09"	15448.35	24660	5160.30	25214.10
	"Alabama"	"01"	"Oct, 1989"	"1989/10"	16296.55	25482	4383.10	22842.30
	"Alabama"	"01"	"Nov, 1989"	"1989/11"	11123.88	24660	2906.80	18308.30
	"Alabama"	"01"	"Dec, 1989"	"1989/12"	8450.77	25482	2303.20	14608.00
	"Alabama"	"01"	"Jan, 1990"	"1990/01"	9159.14	25482	1977.70	16710.50
	"Alabama"	"01"	"Feb, 1990"	"1990/02"	11880.84	23016	3375.60	21133.40
	"Alabama"	"01"	"Mar, 1990"	"1990/03"	15816.40	25482	3012.40	24820.90
	"Alabama"	"01"	"Apr, 1990"	"1990/04"	20353.32	24660	4864.70	27132.30
	"Alabama"	"01"	"May, 1990"	"1990/05"	23335.22	25482	8777.00	31293.50
	"Alabama"	"01"	"Jun, 1990"	"1990/06"	23992.86	24660	9494.40	32342.40
	"Alabama"	"01"	"Jul, 1990"	"1990/07"	22740.37	25482	8770.00	34211.80
	"Alabama"	"01"	"Aug, 1990"	"1990/08"	22481.17	25482	11783.40	31604.90
	"Alabama"	"01"	"Sep, 1990"	"1990/09"	19072.39	24660	8439.60	26094.00
	"Alabama"	"01"	"Oct, 1990"	"1990/10"	16309.39	25482	4071.10	21986.60
	"Alabama"	"01"	"Nov, 1990"	"1990/11"	11936.79	24660	2564.00	18046.20
	"Alabama"	"01"	"Dec, 1990"	"1990/12"	8630.98	25482	2021.00	14853.10
	"Alabama"	"01"	"Jan, 1991"	"1991/01"	8497.67	25482	2181.60	15416.70
	"Alabama"	"01"	"Feb, 1991"	"1991/02"	11366.01	23016	2548.50	19955.10
	"Alabama"	"01"	"Mar, 1991"	"1991/03"	17243.19	25482	3322.90	25961.10
	"Alabama"	"01"	"Apr, 1991"	"1991/04"	17627.95	24660	6181.80	26789.80
	"Alabama"	"01"	"May, 1991"	"1991/05"	18311.24	25482	7833.30	29958.50
	"Alabama"	"01"	"Jun, 1991"	"1991/06"	21071.97	24660	7023.50	32231.60
	"Alabama"	"01"	"Jul, 1991"	"1991/07"	20704.87	25482	7685.00	33588.10
	"Alabama"	"01"	"Aug, 1991"	"1991/08"	19311.49	25482	9698.70	30172.80
	"Alabama"	"01"	"Sep, 1991"	"1991/09"	17245.31	24660	5127.80	25188.70
	"Alabama"	"01"	"Oct, 1991"	"1991/10"	16631.59	25482	4731.50	22050.50
	"Alabama"	"01"	"Nov, 1991"	"1991/11"	11605.71	24660	2399.70	18386.00
	"Alabama"	"01"	"Dec, 1991"	"1991/12"	9438.42	25482	2300.30	14869.20
	"Alabama"	"01"	"Jan, 1992"	"1992/01"	9042.43	25482	2293.40	16458.90
	"Alabama"	"01"	"Feb, 1992"	"1992/02"	12075.35	23838	3538.80	21174.90
	"Alabama"	"01"	"Mar, 1992"	"1992/03"	16962.83	25482	4115.70	25037.00
	"Alabama"	"01"	"Apr, 1992"	"1992/04"	19605.27	24660	5126.80	28647.90
	"Alabama"	"01"	"May, 1992"	"1992/05"	24189.41	25482	8988.60	30834.90
	"Alabama"	"01"	"Jun, 1992"	"1992/06"	22138.33	24660	11420.40	32296.60
	"Alabama"	"01"	"Jul, 1992"	"1992/07"	22480.12	25482	13067.70	33962.00
	"Alabama"	"01"	"Aug, 1992"	"1992/08"	20222.13	25482	6831.10	29527.70
	"Alabama"	"01"	"Sep, 1992"	"1992/09"	16272.47	24660	5815.60	26576.80
	"Alabama"	"01"	"Oct, 1992"	"1992/10"	15770.80	25482	4619.80	22471.20
	"Alabama"	"01"	"Nov, 1992"	"1992/11"	10721.47	24660	2538.80	17452.10
	"Alabama"	"01"	"Dec, 1992"	"1992/12"	8385.96	25482	1874.10	14760.60
	"Alabama"	"01"	"Jan, 1993"	"1993/01"	8416.49	25482	2136.40	16835.40
	"Alabama"	"01"	"Feb, 1993"	"1993/02"	12817.84	23016	2267.10	20374.40
	"Alabama"	"01"	"Mar, 1993"	"1993/03"	15457.69	25482	4298.20	25031.50
	"Alabama"	"01"	"Apr, 1993"	"1993/04"	20012.37	24660	5311.90	28517.70
	"Alabama"	"01"	"May, 1993"	"1993/05"	22118.84	25482	7160.30	32000.30
	"Alabama"	"01"	"Jun, 1993"	"1993/06"	23214.61	24660	8914.20	32580.00
	"Alabama"	"01"	"Jul, 1993"	"1993/07"	23175.75	25482	13321.00	33815.80
	"Alabama"	"01"	"Aug, 1993"	"1993/08"	20046.19	25482	9803.10	31222.30
	"Alabama"	"01"	"Sep, 1993"	"1993/09"	17721.58	24660	7432.80	24896.80
	"Alabama"	"01"	"Oct, 1993"	"1993/10"	14368.19	25482	3720.80	23414.60
	"Alabama"	"01"	"Nov, 1993"	"1993/11"	11189.13	24660	2872.90	18489.70
	"Alabama"	"01"	"Dec, 1993"	"1993/12"	9033.04	25482	2618.50	14346.30
	"Alabama"	"01"	"Jan, 1994"	"1994/01"	9215.81	25482	1906.30	16637.80
	"Alabama"	"01"	"Feb, 1994"	"1994/02"	11816.25	23016	3053.20	20867.10
	"Alabama"	"01"	"Mar, 1994"	"1994/03"	17022.94	25482	4413.30	25599.30
	"Alabama"	"01"	"Apr, 1994"	"1994/04"	20821.10	24660	6674.30	27212.20
	"Alabama"	"01"	"May, 1994"	"1994/05"	23682.84	25482	9456.00	31354.70
	"Alabama"	"01"	"Jun, 1994"	"1994/06"	20430.64	24660	11469.90	31805.60
	"Alabama"	"01"	"Jul, 1994"	"1994/07"	20252.86	25482	8428.40	32598.40
	"Alabama"	"01"	"Aug, 1994"	"1994/08"	20996.70	25482	6863.80	30670.60
	"Alabama"	"01"	"Sep, 1994"	"1994/09"	18380.55	24660	7674.20	26160.80
	"Alabama"	"01"	"Oct, 1994"	"1994/10"	13615.20	25482	3739.30	22428.60
	"Alabama"	"01"	"Nov, 1994"	"1994/11"	11028.80	24660	2677.30	18234.40
	"Alabama"	"01"	"Dec, 1994"	"1994/12"	8862.79	25482	2098.10	14427.30
	"Alabama"	"01"	"Jan, 1995"	"1995/01"	9967.73	25482	2651.70	17030.90
	"Alabama"	"01"	"Feb, 1995"	"1995/02"	11650.12	23016	3617.30	21173.30
	"Alabama"	"01"	"Mar, 1995"	"1995/03"	16670.60	25482	4284.30	23917.10
	"Alabama"	"01"	"Apr, 1995"	"1995/04"	21107.10	24660	7017.20	27912.00
	"Alabama"	"01"	"May, 1995"	"1995/05"	23668.40	25482	8566.10	30998.90
	"Alabama"	"01"	"Jun, 1995"	"1995/06"	23928.04	24660	12337.20	32716.30
	"Alabama"	"01"	"Jul, 1995"	"1995/07"	24110.01	25482	13532.80	34626.40
	"Alabama"	"01"	"Aug, 1995"	"1995/08"	20785.73	25482	7324.60	30223.60
	"Alabama"	"01"	"Sep, 1995"	"1995/09"	18451.90	24660	5425.70	26056.60
	"Alabama"	"01"	"Oct, 1995"	"1995/10"	15402.70	25482	3946.60	22652.30
	"Alabama"	"01"	"Nov, 1995"	"1995/11"	10754.45	24660	2122.40	17759.50
	"Alabama"	"01"	"Dec, 1995"	"1995/12"	9589.05	25482	2517.70	14759.10
	"Alabama"	"01"	"Jan, 1996"	"1996/01"	9457.58	25482	2199.90	16568.30
	"Alabama"	"01"	"Feb, 1996"	"1996/02"	12892.99	23838	2992.20	20065.00
	"Alabama"	"01"	"Mar, 1996"	"1996/03"	15921.90	25482	4765.40	24761.20
	"Alabama"	"01"	"Apr, 1996"	"1996/04"	20998.76	24660	5690.60	28818.30
	"Alabama"	"01"	"May, 1996"	"1996/05"	25287.10	25482	10500.10	30836.10
	"Alabama"	"01"	"Jun, 1996"	"1996/06"	22781.17	24660	7380.30	31781.90
	"Alabama"	"01"	"Jul, 1996"	"1996/07"	23553.12	25482	10533.90	35387.10
	"Alabama"	"01"	"Aug, 1996"	"1996/08"	20697.08	25482	8366.40	29510.40
	"Alabama"	"01"	"Sep, 1996"	"1996/09"	17314.32	24660	4816.10	25375.20
	"Alabama"	"01"	"Oct, 1996"	"1996/10"	15463.61	25482	3420.90	22121.50
	"Alabama"	"01"	"Nov, 1996"	"1996/11"	9963.96	24660	2199.20	18279.10
	"Alabama"	"01"	"Dec, 1996"	"1996/12"	8835.77	25482	2105.00	14580.20
	"Alabama"	"01"	"Jan, 1997"	"1997/01"	9259.79	25482	2125.70	16084.20
	"Alabama"	"01"	"Feb, 1997"	"1997/02"	10922.76	23016	2495.30	19977.00
	"Alabama"	"01"	"Mar, 1997"	"1997/03"	17087.55	25482	4156.00	24437.10
	"Alabama"	"01"	"Apr, 1997"	"1997/04"	19482.80	24660	5665.40	27983.30
	"Alabama"	"01"	"May, 1997"	"1997/05"	22453.17	25482	6549.50	30686.10
	"Alabama"	"01"	"Jun, 1997"	"1997/06"	19526.88	24660	7082.20	31023.70
	"Alabama"	"01"	"Jul, 1997"	"1997/07"	22969.30	25482	11628.70	34265.40
	"Alabama"	"01"	"Aug, 1997"	"1997/08"	21017.73	25482	10169.70	30776.40
	"Alabama"	"01"	"Sep, 1997"	"1997/09"	18863.80	24660	7335.00	25924.20
	"Alabama"	"01"	"Oct, 1997"	"1997/10"	15158.68	25482	3980.60	23545.80
	"Alabama"	"01"	"Nov, 1997"	"1997/11"	10119.46	24660	2984.70	18309.20
	"Alabama"	"01"	"Dec, 1997"	"1997/12"	8728.73	25482	2093.50	14562.60
	"Alabama"	"01"	"Jan, 1998"	"1998/01"	9286.95	25482	2276.60	16995.80
	"Alabama"	"01"	"Feb, 1998"	"1998/02"	11511.10	23016	3087.00	20856.10
	"Alabama"	"01"	"Mar, 1998"	"1998/03"	15605.39	25482	4387.30	24718.20
	"Alabama"	"01"	"Apr, 1998"	"1998/04"	19161.30	24660	5673.90	27819.40
	"Alabama"	"01"	"May, 1998"	"1998/05"	24981.86	25482	12420.00	30911.90
	"Alabama"	"01"	"Jun, 1998"	"1998/06"	26211.34	24660	11907.20	32554.20
	"Alabama"	"01"	"Jul, 1998"	"1998/07"	21892.51	25482	10102.20	33607.20
	"Alabama"	"01"	"Aug, 1998"	"1998/08"	22586.81	25482	10044.90	31641.80
	"Alabama"	"01"	"Sep, 1998"	"1998/09"	18567.31	24660	4803.70	26337.20
	"Alabama"	"01"	"Oct, 1998"	"1998/10"	16857.81	25482	5539.30	22594.70
	"Alabama"	"01"	"Nov, 1998"	"1998/11"	10632.91	24660	2952.90	17889.70
	"Alabama"	"01"	"Dec, 1998"	"1998/12"	8518.11	25482	1908.00	14332.50
	"Alabama"	"01"	"Jan, 1999"	"1999/01"	9749.71	25482	2119.70	16116.50
	"Alabama"	"01"	"Feb, 1999"	"1999/02"	13195.84	23016	3726.00	21257.80
	"Alabama"	"01"	"Mar, 1999"	"1999/03"	16443.44	25482	5240.50	25386.50
	"Alabama"	"01"	"Apr, 1999"	"1999/04"	20482.56	24660	6589.30	27993.10
	"Alabama"	"01"	"May, 1999"	"1999/05"	24016.08	25482	10167.60	31095.50
	"Alabama"	"01"	"Jun, 1999"	"1999/06"	21363.28	24660	9825.20	32376.30
	"Alabama"	"01"	"Jul, 1999"	"1999/07"	22773.46	25482	12525.90	32964.20
	"Alabama"	"01"	"Aug, 1999"	"1999/08"	24494.28	25482	9584.50	30894.40
	"Alabama"	"01"	"Sep, 1999"	"1999/09"	19652.86	24660	7131.80	25736.30
	"Alabama"	"01"	"Oct, 1999"	"1999/10"	16568.93	25482	4840.90	23798.10
	"Alabama"	"01"	"Nov, 1999"	"1999/11"	12377.67	24660	2897.50	18697.00
	"Alabama"	"01"	"Dec, 1999"	"1999/12"	9966.80	25482	2090.60	14891.40
	"Alabama"	"01"	"Jan, 2000"	"2000/01"	9636.06	25482	2408.20	15633.30
	"Alabama"	"01"	"Feb, 2000"	"2000/02"	14420.81	23838	5294.40	21394.50
	"Alabama"	"01"	"Mar, 2000"	"2000/03"	17443.92	25482	5515.30	25519.30
	"Alabama"	"01"	"Apr, 2000"	"2000/04"	20133.57	24660	5316.10	28285.70
	"Alabama"	"01"	"May, 2000"	"2000/05"	25477.74	25482	12380.10	31320.50
	"Alabama"	"01"	"Jun, 2000"	"2000/06"	23897.00	24660	9119.70	32952.70
	"Alabama"	"01"	"Jul, 2000"	"2000/07"	25867.27	25482	12662.30	34648.10
	"Alabama"	"01"	"Aug, 2000"	"2000/08"	24000.94	25482	10565.20	30878.00
	"Alabama"	"01"	"Sep, 2000"	"2000/09"	16863.78	24660	5389.50	25139.70
	"Alabama"	"01"	"Oct, 2000"	"2000/10"	17513.84	25482	5982.50	23019.00
	"Alabama"	"01"	"Nov, 2000"	"2000/11"	10146.33	24660	2371.00	17368.90
	"Alabama"	"01"	"Dec, 2000"	"2000/12"	9009.84	25482	1995.00	14656.40
	"Alabama"	"01"	"Jan, 2001"	"2001/01"	9514.40	25482	2376.70	16334.80
	"Alabama"	"01"	"Feb, 2001"	"2001/02"	11890.38	23016	3042.40	20156.90
	"Alabama"	"01"	"Mar, 2001"	"2001/03"	15258.66	25482	3863.70	24313.80
	"Alabama"	"01"	"Apr, 2001"	"2001/04"	20803.07	24660	5612.70	28435.60
	"Alabama"	"01"	"May, 2001"	"2001/05"	23521.66	25482	11315.10	31673.50
	"Alabama"	"01"	"Jun, 2001"	"2001/06"	22057.69	24660	7582.90	32482.00
	"Alabama"	"01"	"Jul, 2001"	"2001/07"	23083.81	25482	11890.40	34544.30
	"Alabama"	"01"	"Aug, 2001"	"2001/08"	21159.18	25482	7384.30	30841.90
	"Alabama"	"01"	"Sep, 2001"	"2001/09"	17508.78	24660	6956.60	25027.20
	"Alabama"	"01"	"Oct, 2001"	"2001/10"	16928.25	25482	4350.20	23464.30
	"Alabama"	"01"	"Nov, 2001"	"2001/11"	12198.02	24660	3210.20	17754.30
	"Alabama"	"01"	"Dec, 2001"	"2001/12"	9499.29	25482	1858.70	14372.90
	"Alabama"	"01"	"Jan, 2002"	"2002/01"	9901.44	25482	2326.10	16038.60
	"Alabama"	"01"	"Feb, 2002"	"2002/02"	13542.21	23016	2913.30	21384.70
	"Alabama"	"01"	"Mar, 2002"	"2002/03"	17010.31	25482	4676.50	25301.60
	"Alabama"	"01"	"Apr, 2002"	"2002/04"	19231.80	24660	5846.60	26701.50
	"Alabama"	"01"	"May, 2002"	"2002/05"	24179.16	25482	7676.30	31985.40
	"Alabama"	"01"	"Jun, 2002"	"2002/06"	22699.29	24660	10500.50	31871.60
	"Alabama"	"01"	"Jul, 2002"	"2002/07"	22493.91	25482	11656.70	33199.80
	"Alabama"	"01"	"Aug, 2002"	"2002/08"	21771.56	25482	10663.50	31174.90
	"Alabama"	"01"	"Sep, 2002"	"2002/09"	16700.78	24660	4938.40	25484.50
	"Alabama"	"01"	"Oct, 2002"	"2002/10"	13113.69	25482	3518.90	22131.00
	"Alabama"	"01"	"Nov, 2002"	"2002/11"	10581.22	24660	2426.90	17703.00
	"Alabama"	"01"	"Dec, 2002"	"2002/12"	9202.76	25482	2059.20	14877.70
	"Alabama"	"01"	"Jan, 2003"	"2003/01"	10464.25	25482	2255.40	16241.60
	"Alabama"	"01"	"Feb, 2003"	"2003/02"	11800.47	23016	3005.30	20707.90
	"Alabama"	"01"	"Mar, 2003"	"2003/03"	16712.65	25482	4785.20	26161.20
	"Alabama"	"01"	"Apr, 2003"	"2003/04"	20517.92	24660	6641.70	27695.40
	"Alabama"	"01"	"May, 2003"	"2003/05"	22806.28	25482	7626.00	31765.70
	"Alabama"	"01"	"Jun, 2003"	"2003/06"	22535.36	24660	11068.20	31763.10
	"Alabama"	"01"	"Jul, 2003"	"2003/07"	22393.56	25482	9508.40	34081.30
