"Notes"	"County"	"County Code"	"Year"	"Year Code"	Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature Standard Deviation	Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index Standard Deviation	Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress Standard Deviation	Population	Average Population
	"Cullman County, AL"	"01043"	"1981"	"1981"	0	0.00	0.00	9	9.00	0.00	9	9.00	0.00	61932	61932.00
"Total"	"Cullman County, AL"	"01043"			Not Applicable	0.00	0.00	Not Applicable	9.00	0.00	Not Applicable	9.00	0.00	61932	61932.00
	"Dale County, AL"	"01045"	"1981"	"1981"	7	7.00	0.00	9	9.00	0.00	13	13.00	0.00	48666	48666.00
"Total"	"Dale County, AL"	"01045"			Not Applicable	7.00	0.00	Not Applicable	9.00	0.00	Not Applicable	13.00	0.00	48666	48666.00
	"Dallas County, AL"	"01047"	"1981"	"1981"	6	6.00	0.00	11	11.00	0.00	14	14.00	0.00	53853	53853.00
"Total"	"Dallas County, AL"	"01047"			Not Applicable	6.00	0.00	Not Applicable	11.00	0.00	Not Applicable	14.00	0.00	53853	53853.00
	"DeKalb County, AL"	"01049"	"1981"	"1981"	0	0.00	0.00	4	4.00	0.00	6	6.00	0.00	54207	54207.00
"Total"	"DeKalb County, AL"	"01049"			Not Applicable	0.00	0.00	Not Applicable	4.00	0.00	Not Applicable	6.00	0.00	54207	54207.00
	"Elmore County, AL"	"01051"	"1981"	"1981"	4	4.00	0.00	10	10.00	0.00	12	12.00	0.00	43734	43734.00
"Total"	"Elmore County, AL"	"01051"			Not Applicable	4.00	0.00	Not Applicable	10.00	0.00	Not Applicable	12.00	0.00	43734	43734.00
	"Escambia County, AL"	"01053"	"1981"	"1981"	8	8.00	0.00	12	12.00	0.00	14	14.00	0.00	37563	37563.00
"Total"	"Escambia County, AL"	"01053"			Not Applicable	8.00	0.00	Not Applicable	12.00	0.00	Not Applicable	14.00	0.00	37563	37563.00
	"Etowah County, AL"	"01055"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	3	3.00	0.00	103084	103084.00
"Total"	"Etowah County, AL"	"01055"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	103084	103084.00
	"Fayette County, AL"	"01057"	"1981"	"1981"	2	2.00	0.00	10	10.00	0.00	12	12.00	0.00	18946	18946.00
"Total"	"Fayette County, AL"	"01057"			Not Applicable	2.00	0.00	Not Applicable	10.00	0.00	Not Applicable	12.00	0.00	18946	18946.00
	"Franklin County, AL"	"01059"	"1981"	"1981"	0	0.00	0.00	10	10.00	0.00	11	11.00	0.00	28191	28191.00
"Total"	"Franklin County, AL"	"01059"			Not Applicable	0.00	0.00	Not Applicable	10.00	0.00	Not Applicable	11.00	0.00	28191	28191.00
	"Geneva County, AL"	"01061"	"1981"	"1981"	7	7.00	0.00	10	10.00	0.00	12	12.00	0.00	23839	23839.00
"Total"	"Geneva County, AL"	"01061"			Not Applicable	7.00	0.00	Not Applicable	10.00	0.00	Not Applicable	12.00	0.00	23839	23839.00
	"Greene County, AL"	"01063"	"1981"	"1981"	10	10.00	0.00	11	11.00	0.00	13	13.00	0.00	11131	11131.00
"Total"	"Greene County, AL"	"01063"			Not Applicable	10.00	0.00	Not Applicable	11.00	0.00	Not Applicable	13.00	0.00	11131	11131.00
	"Hale County, AL"	"01065"	"1981"	"1981"	6	6.00	0.00	10	10.00	0.00	13	13.00	0.00	15587	15587.00
"Total"	"Hale County, AL"	"01065"			Not Applicable	6.00	0.00	Not Applicable	10.00	0.00	Not Applicable	13.00	0.00	15587	15587.00
	"Henry County, AL"	"01067"	"1981"	"1981"	8	8.00	0.00	13	13.00	0.00	15	15.00	0.00	15428	15428.00
"Total"	"Henry County, AL"	"01067"			Not Applicable	8.00	0.00	Not Applicable	13.00	0.00	Not Applicable	15.00	0.00	15428	15428.00
	"Houston County, AL"	"01069"	"1981"	"1981"	7	7.00	0.00	11	11.00	0.00	13	13.00	0.00	76266	76266.00
"Total"	"Houston County, AL"	"01069"			Not Applicable	7.00	0.00	Not Applicable	11.00	0.00	Not Applicable	13.00	0.00	76266	76266.00
	"Jackson County, AL"	"01071"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	6	6.00	0.00	51295	51295.00
"Total"	"Jackson County, AL"	"01071"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	51295	51295.00
	"Jefferson County, AL"	"01073"	"1981"	"1981"	2	2.00	0.00	5	5.00	0.00	11	11.00	0.00	668550	668550.00
"Total"	"Jefferson County, AL"	"01073"			Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	Not Applicable	11.00	0.00	668550	668550.00
	"Lamar County, AL"	"01075"	"1981"	"1981"	2	2.00	0.00	11	11.00	0.00	13	13.00	0.00	16421	16421.00
"Total"	"Lamar County, AL"	"01075"			Not Applicable	2.00	0.00	Not Applicable	11.00	0.00	Not Applicable	13.00	0.00	16421	16421.00
	"Lauderdale County, AL"	"01077"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	11	11.00	0.00	81379	81379.00
"Total"	"Lauderdale County, AL"	"01077"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	11.00	0.00	81379	81379.00
	"Lawrence County, AL"	"01079"	"1981"	"1981"	0	0.00	0.00	9	9.00	0.00	11	11.00	0.00	30204	30204.00
"Total"	"Lawrence County, AL"	"01079"			Not Applicable	0.00	0.00	Not Applicable	9.00	0.00	Not Applicable	11.00	0.00	30204	30204.00
	"Lee County, AL"	"01081"	"1981"	"1981"	6	6.00	0.00	8	8.00	0.00	10	10.00	0.00	77783	77783.00
"Total"	"Lee County, AL"	"01081"			Not Applicable	6.00	0.00	Not Applicable	8.00	0.00	Not Applicable	10.00	0.00	77783	77783.00
	"Limestone County, AL"	"01083"	"1981"	"1981"	0	0.00	0.00	10	10.00	0.00	11	11.00	0.00	45775	45775.00
"Total"	"Limestone County, AL"	"01083"			Not Applicable	0.00	0.00	Not Applicable	10.00	0.00	Not Applicable	11.00	0.00	45775	45775.00
	"Lowndes County, AL"	"01085"	"1981"	"1981"	11	11.00	0.00	13	13.00	0.00	12	12.00	0.00	13138	13138.00
"Total"	"Lowndes County, AL"	"01085"			Not Applicable	11.00	0.00	Not Applicable	13.00	0.00	Not Applicable	12.00	0.00	13138	13138.00
	"Macon County, AL"	"01087"	"1981"	"1981"	6	6.00	0.00	13	13.00	0.00	12	12.00	0.00	26605	26605.00
"Total"	"Macon County, AL"	"01087"			Not Applicable	6.00	0.00	Not Applicable	13.00	0.00	Not Applicable	12.00	0.00	26605	26605.00
	"Madison County, AL"	"01089"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	11	11.00	0.00	200059	200059.00
"Total"	"Madison County, AL"	"01089"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	11.00	0.00	200059	200059.00
	"Marengo County, AL"	"01091"	"1981"	"1981"	7	7.00	0.00	11	11.00	0.00	11	11.00	0.00	24713	24713.00
"Total"	"Marengo County, AL"	"01091"			Not Applicable	7.00	0.00	Not Applicable	11.00	0.00	Not Applicable	11.00	0.00	24713	24713.00
	"Marion County, AL"	"01093"	"1981"	"1981"	0	0.00	0.00	11	11.00	0.00	12	12.00	0.00	30338	30338.00
"Total"	"Marion County, AL"	"01093"			Not Applicable	0.00	0.00	Not Applicable	11.00	0.00	Not Applicable	12.00	0.00	30338	30338.00
	"Marshall County, AL"	"01095"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	6	6.00	0.00	66381	66381.00
"Total"	"Marshall County, AL"	"01095"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	6.00	0.00	66381	66381.00
	"Mobile County, AL"	"01097"	"1981"	"1981"	8	8.00	0.00	14	14.00	0.00	17	17.00	0.00	371047	371047.00
"Total"	"Mobile County, AL"	"01097"			Not Applicable	8.00	0.00	Not Applicable	14.00	0.00	Not Applicable	17.00	0.00	371047	371047.00
	"Monroe County, AL"	"01099"	"1981"	"1981"	6	6.00	0.00	11	11.00	0.00	11	11.00	0.00	22654	22654.00
"Total"	"Monroe County, AL"	"01099"			Not Applicable	6.00	0.00	Not Applicable	11.00	0.00	Not Applicable	11.00	0.00	22654	22654.00
	"Montgomery County, AL"	"01101"	"1981"	"1981"	9	9.00	0.00	13	13.00	0.00	14	14.00	0.00	199917	199917.00
"Total"	"Montgomery County, AL"	"01101"			Not Applicable	9.00	0.00	Not Applicable	13.00	0.00	Not Applicable	14.00	0.00	199917	199917.00
	"Morgan County, AL"	"01103"	"1981"	"1981"	0	0.00	0.00	8	8.00	0.00	10	10.00	0.00	90083	90083.00
"Total"	"Morgan County, AL"	"01103"			Not Applicable	0.00	0.00	Not Applicable	8.00	0.00	Not Applicable	10.00	0.00	90083	90083.00
	"Perry County, AL"	"01105"	"1981"	"1981"	6	6.00	0.00	9	9.00	0.00	14	14.00	0.00	14842	14842.00
"Total"	"Perry County, AL"	"01105"			Not Applicable	6.00	0.00	Not Applicable	9.00	0.00	Not Applicable	14.00	0.00	14842	14842.00
	"Pickens County, AL"	"01107"	"1981"	"1981"	5	5.00	0.00	10	10.00	0.00	13	13.00	0.00	21786	21786.00
"Total"	"Pickens County, AL"	"01107"			Not Applicable	5.00	0.00	Not Applicable	10.00	0.00	Not Applicable	13.00	0.00	21786	21786.00
	"Pike County, AL"	"01109"	"1981"	"1981"	10	10.00	0.00	13	13.00	0.00	15	15.00	0.00	28557	28557.00
"Total"	"Pike County, AL"	"01109"			Not Applicable	10.00	0.00	Not Applicable	13.00	0.00	Not Applicable	15.00	0.00	28557	28557.00
	"Randolph County, AL"	"01111"	"1981"	"1981"	2	2.00	0.00	7	7.00	0.00	8	8.00	0.00	20211	20211.00
"Total"	"Randolph County, AL"	"01111"			Not Applicable	2.00	0.00	Not Applicable	7.00	0.00	Not Applicable	8.00	0.00	20211	20211.00
	"Russell County, AL"	"01113"	"1981"	"1981"	11	11.00	0.00	13	13.00	0.00	12	12.00	0.00	46852	46852.00
"Total"	"Russell County, AL"	"01113"			Not Applicable	11.00	0.00	Not Applicable	13.00	0.00	Not Applicable	12.00	0.00	46852	46852.00
	"St. Clair County, AL"	"01115"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	7	7.00	0.00	41660	41660.00
"Total"	"St. Clair County, AL"	"01115"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	41660	41660.00
	"Shelby County, AL"	"01117"	"1981"	"1981"	2	2.00	0.00	7	7.00	0.00	11	11.00	0.00	69280	69280.00
"Total"	"Shelby County, AL"	"01117"			Not Applicable	2.00	0.00	Not Applicable	7.00	0.00	Not Applicable	11.00	0.00	69280	69280.00
	"Sumter County, AL"	"01119"	"1981"	"1981"	7	7.00	0.00	10	10.00	0.00	12	12.00	0.00	17036	17036.00
"Total"	"Sumter County, AL"	"01119"			Not Applicable	7.00	0.00	Not Applicable	10.00	0.00	Not Applicable	12.00	0.00	17036	17036.00
	"Talladega County, AL"	"01121"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	7	7.00	0.00	74385	74385.00
"Total"	"Talladega County, AL"	"01121"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	74385	74385.00
	"Tallapoosa County, AL"	"01123"	"1981"	"1981"	4	4.00	0.00	5	5.00	0.00	9	9.00	0.00	38724	38724.00
"Total"	"Tallapoosa County, AL"	"01123"			Not Applicable	4.00	0.00	Not Applicable	5.00	0.00	Not Applicable	9.00	0.00	38724	38724.00
	"Tuscaloosa County, AL"	"01125"	"1981"	"1981"	5	5.00	0.00	6	6.00	0.00	13	13.00	0.00	138777	138777.00
"Total"	"Tuscaloosa County, AL"	"01125"			Not Applicable	5.00	0.00	Not Applicable	6.00	0.00	Not Applicable	13.00	0.00	138777	138777.00
	"Walker County, AL"	"01127"	"1981"	"1981"	2	2.00	0.00	9	9.00	0.00	12	12.00	0.00	68130	68130.00
"Total"	"Walker County, AL"	"01127"			Not Applicable	2.00	0.00	Not Applicable	9.00	0.00	Not Applicable	12.00	0.00	68130	68130.00
	"Washington County, AL"	"01129"	"1981"	"1981"	6	6.00	0.00	11	11.00	0.00	14	14.00	0.00	17578	17578.00
"Total"	"Washington County, AL"	"01129"			Not Applicable	6.00	0.00	Not Applicable	11.00	0.00	Not Applicable	14.00	0.00	17578	17578.00
	"Wilcox County, AL"	"01131"	"1981"	"1981"	6	6.00	0.00	12	12.00	0.00	10	10.00	0.00	14927	14927.00
"Total"	"Wilcox County, AL"	"01131"			Not Applicable	6.00	0.00	Not Applicable	12.00	0.00	Not Applicable	10.00	0.00	14927	14927.00
	"Winston County, AL"	"01133"	"1981"	"1981"	0	0.00	0.00	10	10.00	0.00	11	11.00	0.00	21967	21967.00
"Total"	"Winston County, AL"	"01133"			Not Applicable	0.00	0.00	Not Applicable	10.00	0.00	Not Applicable	11.00	0.00	21967	21967.00
	"Apache County, AZ"	"04001"	"1981"	"1981"	6	6.00	0.00	4	4.00	0.00	5	5.00	0.00	51509	51509.00
"Total"	"Apache County, AZ"	"04001"			Not Applicable	6.00	0.00	Not Applicable	4.00	0.00	Not Applicable	5.00	0.00	51509	51509.00
	"Cochise County, AZ"	"04003"	"1981"	"1981"	10	10.00	0.00	9	9.00	0.00	9	9.00	0.00	88204	88204.00
"Total"	"Cochise County, AZ"	"04003"			Not Applicable	10.00	0.00	Not Applicable	9.00	0.00	Not Applicable	9.00	0.00	88204	88204.00
	"Coconino County, AZ"	"04005"	"1981"	"1981"	10	10.00	0.00	10	10.00	0.00	10	10.00	0.00	78079	78079.00
"Total"	"Coconino County, AZ"	"04005"			Not Applicable	10.00	0.00	Not Applicable	10.00	0.00	Not Applicable	10.00	0.00	78079	78079.00
	"Gila County, AZ"	"04007"	"1981"	"1981"	10	10.00	0.00	8	8.00	0.00	7	7.00	0.00	38118	38118.00
"Total"	"Gila County, AZ"	"04007"			Not Applicable	10.00	0.00	Not Applicable	8.00	0.00	Not Applicable	7.00	0.00	38118	38118.00
	"Graham County, AZ"	"04009"	"1981"	"1981"	9	9.00	0.00	9	9.00	0.00	13	13.00	0.00	23173	23173.00
"Total"	"Graham County, AZ"	"04009"			Not Applicable	9.00	0.00	Not Applicable	9.00	0.00	Not Applicable	13.00	0.00	23173	23173.00
	"Greenlee County, AZ"	"04011"	"1981"	"1981"	9	9.00	0.00	12	12.00	0.00	14	14.00	0.00	11531	11531.00
"Total"	"Greenlee County, AZ"	"04011"			Not Applicable	9.00	0.00	Not Applicable	12.00	0.00	Not Applicable	14.00	0.00	11531	11531.00
	"La Paz County, AZ"	"04012"	"1981"	"1981"	13	13.00	0.00	13	13.00	0.00	12	12.00	0.00	Not Applicable	Missing
"Total"	"La Paz County, AZ"	"04012"			Not Applicable	13.00	0.00	Not Applicable	13.00	0.00	Not Applicable	12.00	0.00	Not Applicable	Missing
	"Maricopa County, AZ"	"04013"	"1981"	"1981"	14	14.00	0.00	12	12.00	0.00	16	16.00	0.00	1569751	1569751.00
"Total"	"Maricopa County, AZ"	"04013"			Not Applicable	14.00	0.00	Not Applicable	12.00	0.00	Not Applicable	16.00	0.00	1569751	1569751.00
	"Mohave County, AZ"	"04015"	"1981"	"1981"	10	10.00	0.00	14	14.00	0.00	12	12.00	0.00	58710	58710.00
"Total"	"Mohave County, AZ"	"04015"			Not Applicable	10.00	0.00	Not Applicable	14.00	0.00	Not Applicable	12.00	0.00	58710	58710.00
	"Navajo County, AZ"	"04017"	"1981"	"1981"	7	7.00	0.00	7	7.00	0.00	10	10.00	0.00	67022	67022.00
"Total"	"Navajo County, AZ"	"04017"			Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	Not Applicable	10.00	0.00	67022	67022.00
	"Pima County, AZ"	"04019"	"1981"	"1981"	11	11.00	0.00	14	14.00	0.00	10	10.00	0.00	553684	553684.00
"Total"	"Pima County, AZ"	"04019"			Not Applicable	11.00	0.00	Not Applicable	14.00	0.00	Not Applicable	10.00	0.00	553684	553684.00
	"Pinal County, AZ"	"04021"	"1981"	"1981"	12	12.00	0.00	11	11.00	0.00	9	9.00	0.00	93183	93183.00
"Total"	"Pinal County, AZ"	"04021"			Not Applicable	12.00	0.00	Not Applicable	11.00	0.00	Not Applicable	9.00	0.00	93183	93183.00
	"Santa Cruz County, AZ"	"04023"	"1981"	"1981"	8	8.00	0.00	9	9.00	0.00	7	7.00	0.00	20759	20759.00
"Total"	"Santa Cruz County, AZ"	"04023"			Not Applicable	8.00	0.00	Not Applicable	9.00	0.00	Not Applicable	7.00	0.00	20759	20759.00
	"Yavapai County, AZ"	"04025"	"1981"	"1981"	11	11.00	0.00	12	12.00	0.00	12	12.00	0.00	71003	71003.00
"Total"	"Yavapai County, AZ"	"04025"			Not Applicable	11.00	0.00	Not Applicable	12.00	0.00	Not Applicable	12.00	0.00	71003	71003.00
	"Yuma County, AZ"	"04027"	"1981"	"1981"	10	10.00	0.00	15	15.00	0.00	14	14.00	0.00	92110	92110.00
"Total"	"Yuma County, AZ"	"04027"			Not Applicable	10.00	0.00	Not Applicable	15.00	0.00	Not Applicable	14.00	0.00	92110	92110.00
	"Arkansas County, AR"	"05001"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	5	5.00	0.00	24220	24220.00
"Total"	"Arkansas County, AR"	"05001"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	24220	24220.00
	"Ashley County, AR"	"05003"	"1981"	"1981"	3	3.00	0.00	9	9.00	0.00	8	8.00	0.00	26827	26827.00
"Total"	"Ashley County, AR"	"05003"			Not Applicable	3.00	0.00	Not Applicable	9.00	0.00	Not Applicable	8.00	0.00	26827	26827.00
	"Baxter County, AR"	"05005"	"1981"	"1981"	7	7.00	0.00	3	3.00	0.00	4	4.00	0.00	27700	27700.00
"Total"	"Baxter County, AR"	"05005"			Not Applicable	7.00	0.00	Not Applicable	3.00	0.00	Not Applicable	4.00	0.00	27700	27700.00
	"Benton County, AR"	"05007"	"1981"	"1981"	12	12.00	0.00	10	10.00	0.00	8	8.00	0.00	79271	79271.00
"Total"	"Benton County, AR"	"05007"			Not Applicable	12.00	0.00	Not Applicable	10.00	0.00	Not Applicable	8.00	0.00	79271	79271.00
	"Boone County, AR"	"05009"	"1981"	"1981"	7	7.00	0.00	3	3.00	0.00	4	4.00	0.00	26241	26241.00
"Total"	"Boone County, AR"	"05009"			Not Applicable	7.00	0.00	Not Applicable	3.00	0.00	Not Applicable	4.00	0.00	26241	26241.00
	"Bradley County, AR"	"05011"	"1981"	"1981"	3	3.00	0.00	3	3.00	0.00	6	6.00	0.00	13552	13552.00
"Total"	"Bradley County, AR"	"05011"			Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	Not Applicable	6.00	0.00	13552	13552.00
	"Calhoun County, AR"	"05013"	"1981"	"1981"	3	3.00	0.00	7	7.00	0.00	7	7.00	0.00	6046	6046.00
"Total"	"Calhoun County, AR"	"05013"			Not Applicable	3.00	0.00	Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	6046	6046.00
	"Carroll County, AR"	"05015"	"1981"	"1981"	8	8.00	0.00	3	3.00	0.00	4	4.00	0.00	16297	16297.00
"Total"	"Carroll County, AR"	"05015"			Not Applicable	8.00	0.00	Not Applicable	3.00	0.00	Not Applicable	4.00	0.00	16297	16297.00
	"Chicot County, AR"	"05017"	"1981"	"1981"	2	2.00	0.00	7	7.00	0.00	9	9.00	0.00	17878	17878.00
"Total"	"Chicot County, AR"	"05017"			Not Applicable	2.00	0.00	Not Applicable	7.00	0.00	Not Applicable	9.00	0.00	17878	17878.00
	"Clark County, AR"	"05019"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	9	9.00	0.00	23227	23227.00
"Total"	"Clark County, AR"	"05019"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	9.00	0.00	23227	23227.00
	"Clay County, AR"	"05021"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	10	10.00	0.00	20201	20201.00
"Total"	"Clay County, AR"	"05021"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	10.00	0.00	20201	20201.00
	"Cleburne County, AR"	"05023"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	3	3.00	0.00	16898	16898.00
"Total"	"Cleburne County, AR"	"05023"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	16898	16898.00
	"Cleveland County, AR"	"05025"	"1981"	"1981"	2	2.00	0.00	5	5.00	0.00	6	6.00	0.00	7928	7928.00
"Total"	"Cleveland County, AR"	"05025"			Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	Not Applicable	6.00	0.00	7928	7928.00
	"Columbia County, AR"	"05027"	"1981"	"1981"	3	3.00	0.00	5	5.00	0.00	7	7.00	0.00	26826	26826.00
"Total"	"Columbia County, AR"	"05027"			Not Applicable	3.00	0.00	Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	26826	26826.00
