"Notes"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight	Min Daily Sunlight	Max Daily Sunlight
	"Chambers County, AL"	"01017"	"Nov, 1979"	"1979/11"	10887.80	300	3389.20	15466.00
	"Chambers County, AL"	"01017"	"Dec, 1979"	"1979/12"	9468.01	310	2761.70	12634.00
"Total"	"Chambers County, AL"	"01017"			16859.09	3650	2761.70	32523.00
	"Cherokee County, AL"	"01019"	"Jan, 1979"	"1979/01"	8483.52	279	2414.10	12321.70
	"Cherokee County, AL"	"01019"	"Feb, 1979"	"1979/02"	10728.17	252	3871.20	16496.60
	"Cherokee County, AL"	"01019"	"Mar, 1979"	"1979/03"	15729.37	279	4558.40	21780.00
	"Cherokee County, AL"	"01019"	"Apr, 1979"	"1979/04"	18286.81	270	6263.10	24899.60
	"Cherokee County, AL"	"01019"	"May, 1979"	"1979/05"	21570.80	279	7482.80	29432.70
	"Cherokee County, AL"	"01019"	"Jun, 1979"	"1979/06"	23840.64	270	11647.80	30348.90
	"Cherokee County, AL"	"01019"	"Jul, 1979"	"1979/07"	21692.49	279	9913.80	32579.70
	"Cherokee County, AL"	"01019"	"Aug, 1979"	"1979/08"	21449.46	279	13338.60	29349.80
	"Cherokee County, AL"	"01019"	"Sep, 1979"	"1979/09"	16509.50	270	4728.90	23391.20
	"Cherokee County, AL"	"01019"	"Oct, 1979"	"1979/10"	16567.72	279	6201.90	20576.70
	"Cherokee County, AL"	"01019"	"Nov, 1979"	"1979/11"	10188.94	270	2783.90	14272.00
	"Cherokee County, AL"	"01019"	"Dec, 1979"	"1979/12"	8403.03	279	2412.50	11730.10
"Total"	"Cherokee County, AL"	"01019"			16153.30	3285	2412.50	32579.70
	"Chilton County, AL"	"01021"	"Jan, 1979"	"1979/01"	8789.07	341	2850.70	12970.20
	"Chilton County, AL"	"01021"	"Feb, 1979"	"1979/02"	11711.03	308	3769.30	17863.90
	"Chilton County, AL"	"01021"	"Mar, 1979"	"1979/03"	17479.71	341	7168.40	22856.80
	"Chilton County, AL"	"01021"	"Apr, 1979"	"1979/04"	18073.69	330	7070.20	25991.60
	"Chilton County, AL"	"01021"	"May, 1979"	"1979/05"	21373.49	341	9994.20	30039.80
	"Chilton County, AL"	"01021"	"Jun, 1979"	"1979/06"	25005.46	330	15557.30	31498.90
	"Chilton County, AL"	"01021"	"Jul, 1979"	"1979/07"	21421.30	341	10104.10	32669.30
	"Chilton County, AL"	"01021"	"Aug, 1979"	"1979/08"	22121.22	341	15014.00	29526.30
	"Chilton County, AL"	"01021"	"Sep, 1979"	"1979/09"	17110.56	330	4107.20	24649.10
	"Chilton County, AL"	"01021"	"Oct, 1979"	"1979/10"	17871.88	341	8377.00	21412.50
	"Chilton County, AL"	"01021"	"Nov, 1979"	"1979/11"	11408.02	330	3029.20	15640.70
	"Chilton County, AL"	"01021"	"Dec, 1979"	"1979/12"	9204.01	341	2424.90	12608.30
"Total"	"Chilton County, AL"	"01021"			16827.18	4015	2424.90	32669.30
	"Choctaw County, AL"	"01023"	"Jan, 1979"	"1979/01"	8938.47	527	2452.10	14284.40
	"Choctaw County, AL"	"01023"	"Feb, 1979"	"1979/02"	11298.18	476	3389.90	18263.60
	"Choctaw County, AL"	"01023"	"Mar, 1979"	"1979/03"	17780.69	527	5301.60	23432.10
	"Choctaw County, AL"	"01023"	"Apr, 1979"	"1979/04"	18253.81	510	8596.70	26649.30
	"Choctaw County, AL"	"01023"	"May, 1979"	"1979/05"	23179.12	527	11110.70	30688.90
	"Choctaw County, AL"	"01023"	"Jun, 1979"	"1979/06"	25654.08	510	15029.40	32587.70
	"Choctaw County, AL"	"01023"	"Jul, 1979"	"1979/07"	22309.15	527	11208.50	32477.00
	"Choctaw County, AL"	"01023"	"Aug, 1979"	"1979/08"	22460.18	527	14184.40	30553.10
	"Choctaw County, AL"	"01023"	"Sep, 1979"	"1979/09"	18140.91	510	7874.30	24925.40
	"Choctaw County, AL"	"01023"	"Oct, 1979"	"1979/10"	18164.48	527	7652.00	21851.90
	"Choctaw County, AL"	"01023"	"Nov, 1979"	"1979/11"	12325.73	510	3326.10	16350.10
	"Choctaw County, AL"	"01023"	"Dec, 1979"	"1979/12"	9680.38	527	2217.40	13462.90
"Total"	"Choctaw County, AL"	"01023"			17384.85	6205	2217.40	32587.70
	"Clarke County, AL"	"01025"	"Jan, 1979"	"1979/01"	9146.81	620	2914.00	14459.80
	"Clarke County, AL"	"01025"	"Feb, 1979"	"1979/02"	11313.15	560	3219.00	18058.40
	"Clarke County, AL"	"01025"	"Mar, 1979"	"1979/03"	18098.75	620	4657.90	23442.10
	"Clarke County, AL"	"01025"	"Apr, 1979"	"1979/04"	18495.06	600	7704.70	26702.90
	"Clarke County, AL"	"01025"	"May, 1979"	"1979/05"	23166.64	620	12859.90	30414.60
	"Clarke County, AL"	"01025"	"Jun, 1979"	"1979/06"	25129.91	600	14824.10	31958.60
	"Clarke County, AL"	"01025"	"Jul, 1979"	"1979/07"	21794.52	620	11250.70	32416.30
	"Clarke County, AL"	"01025"	"Aug, 1979"	"1979/08"	22323.62	620	12169.70	30387.50
	"Clarke County, AL"	"01025"	"Sep, 1979"	"1979/09"	17837.96	600	8238.80	24808.40
	"Clarke County, AL"	"01025"	"Oct, 1979"	"1979/10"	18253.73	620	8917.50	21892.00
	"Clarke County, AL"	"01025"	"Nov, 1979"	"1979/11"	12577.76	600	3421.80	16778.70
	"Clarke County, AL"	"01025"	"Dec, 1979"	"1979/12"	9776.38	620	2419.90	13578.10
"Total"	"Clarke County, AL"	"01025"			17362.64	7300	2419.90	32416.30
	"Clay County, AL"	"01027"	"Jan, 1979"	"1979/01"	9086.67	279	3267.00	12679.90
	"Clay County, AL"	"01027"	"Feb, 1979"	"1979/02"	11527.70	252	3889.60	17270.20
	"Clay County, AL"	"01027"	"Mar, 1979"	"1979/03"	16927.70	279	6629.10	22454.90
	"Clay County, AL"	"01027"	"Apr, 1979"	"1979/04"	18407.82	270	7296.30	24856.40
	"Clay County, AL"	"01027"	"May, 1979"	"1979/05"	21447.71	279	10537.60	29657.60
	"Clay County, AL"	"01027"	"Jun, 1979"	"1979/06"	24695.13	270	14367.40	30773.60
	"Clay County, AL"	"01027"	"Jul, 1979"	"1979/07"	21323.30	279	10168.60	31899.50
	"Clay County, AL"	"01027"	"Aug, 1979"	"1979/08"	21899.65	279	14745.60	29664.80
	"Clay County, AL"	"01027"	"Sep, 1979"	"1979/09"	16713.47	270	4154.70	24282.00
	"Clay County, AL"	"01027"	"Oct, 1979"	"1979/10"	17351.95	279	10428.10	21031.20
	"Clay County, AL"	"01027"	"Nov, 1979"	"1979/11"	10778.50	270	3091.10	15152.60
	"Clay County, AL"	"01027"	"Dec, 1979"	"1979/12"	9090.36	279	2498.10	12276.30
"Total"	"Clay County, AL"	"01027"			16634.44	3285	2498.10	31899.50
	"Cleburne County, AL"	"01029"	"Jan, 1979"	"1979/01"	8884.29	248	2642.50	12357.90
	"Cleburne County, AL"	"01029"	"Feb, 1979"	"1979/02"	11198.48	224	3878.30	17157.90
	"Cleburne County, AL"	"01029"	"Mar, 1979"	"1979/03"	16285.58	248	4602.70	22137.30
	"Cleburne County, AL"	"01029"	"Apr, 1979"	"1979/04"	18435.09	240	6218.80	25008.40
	"Cleburne County, AL"	"01029"	"May, 1979"	"1979/05"	21521.32	248	8706.00	29532.50
	"Cleburne County, AL"	"01029"	"Jun, 1979"	"1979/06"	24137.08	240	13751.60	30428.10
	"Cleburne County, AL"	"01029"	"Jul, 1979"	"1979/07"	21595.38	248	9895.10	32359.90
	"Cleburne County, AL"	"01029"	"Aug, 1979"	"1979/08"	21285.11	248	14018.00	29224.90
	"Cleburne County, AL"	"01029"	"Sep, 1979"	"1979/09"	16321.51	240	4258.50	23849.70
	"Cleburne County, AL"	"01029"	"Oct, 1979"	"1979/10"	16797.97	248	9324.40	20589.00
	"Cleburne County, AL"	"01029"	"Nov, 1979"	"1979/11"	10448.16	240	2845.50	14795.10
	"Cleburne County, AL"	"01029"	"Dec, 1979"	"1979/12"	8723.08	248	2469.60	11915.10
"Total"	"Cleburne County, AL"	"01029"			16333.39	2920	2469.60	32359.90
	"Coffee County, AL"	"01031"	"Jan, 1979"	"1979/01"	9676.00	341	2964.80	14757.80
	"Coffee County, AL"	"01031"	"Feb, 1979"	"1979/02"	11860.96	308	3211.60	18292.50
	"Coffee County, AL"	"01031"	"Mar, 1979"	"1979/03"	18854.01	341	6867.10	23539.10
	"Coffee County, AL"	"01031"	"Apr, 1979"	"1979/04"	19074.57	330	8455.50	25651.90
	"Coffee County, AL"	"01031"	"May, 1979"	"1979/05"	22257.58	341	14454.20	30350.80
	"Coffee County, AL"	"01031"	"Jun, 1979"	"1979/06"	24823.45	330	14957.20	31718.50
	"Coffee County, AL"	"01031"	"Jul, 1979"	"1979/07"	20971.01	341	12115.00	33065.40
	"Coffee County, AL"	"01031"	"Aug, 1979"	"1979/08"	21897.33	341	14671.90	30299.10
	"Coffee County, AL"	"01031"	"Sep, 1979"	"1979/09"	16521.71	330	4197.90	24403.50
	"Coffee County, AL"	"01031"	"Oct, 1979"	"1979/10"	18129.61	341	11897.50	21410.90
	"Coffee County, AL"	"01031"	"Nov, 1979"	"1979/11"	11808.20	330	3782.60	16618.80
	"Coffee County, AL"	"01031"	"Dec, 1979"	"1979/12"	9981.85	341	3126.90	13071.60
"Total"	"Coffee County, AL"	"01031"			17188.31	4015	2964.80	33065.40
	"Colbert County, AL"	"01033"	"Jan, 1979"	"1979/01"	7519.52	248	2036.60	11247.20
	"Colbert County, AL"	"01033"	"Feb, 1979"	"1979/02"	10338.97	224	3606.30	15698.60
	"Colbert County, AL"	"01033"	"Mar, 1979"	"1979/03"	15978.33	248	7039.90	22173.90
	"Colbert County, AL"	"01033"	"Apr, 1979"	"1979/04"	18251.67	240	6842.50	25864.60
	"Colbert County, AL"	"01033"	"May, 1979"	"1979/05"	22095.41	248	11416.50	29672.70
	"Colbert County, AL"	"01033"	"Jun, 1979"	"1979/06"	24128.93	240	12319.10	30739.00
	"Colbert County, AL"	"01033"	"Jul, 1979"	"1979/07"	22537.69	248	15697.40	31705.70
	"Colbert County, AL"	"01033"	"Aug, 1979"	"1979/08"	20883.40	248	13039.40	28979.20
	"Colbert County, AL"	"01033"	"Sep, 1979"	"1979/09"	17960.05	240	6913.70	24311.70
	"Colbert County, AL"	"01033"	"Oct, 1979"	"1979/10"	16491.49	248	4997.00	20736.90
	"Colbert County, AL"	"01033"	"Nov, 1979"	"1979/11"	10250.80	240	2460.40	14276.10
	"Colbert County, AL"	"01033"	"Dec, 1979"	"1979/12"	8528.96	248	2030.70	11657.90
"Total"	"Colbert County, AL"	"01033"			16280.31	2920	2030.70	31705.70
	"Conecuh County, AL"	"01035"	"Jan, 1979"	"1979/01"	9323.37	403	2890.50	14549.50
	"Conecuh County, AL"	"01035"	"Feb, 1979"	"1979/02"	11704.24	364	3046.30	18364.90
	"Conecuh County, AL"	"01035"	"Mar, 1979"	"1979/03"	18521.99	403	5282.70	23566.40
	"Conecuh County, AL"	"01035"	"Apr, 1979"	"1979/04"	18915.75	390	9589.80	25311.40
	"Conecuh County, AL"	"01035"	"May, 1979"	"1979/05"	22362.28	403	13232.70	30009.90
	"Conecuh County, AL"	"01035"	"Jun, 1979"	"1979/06"	24250.26	390	13643.40	30858.20
	"Conecuh County, AL"	"01035"	"Jul, 1979"	"1979/07"	20962.23	403	9345.30	32023.00
	"Conecuh County, AL"	"01035"	"Aug, 1979"	"1979/08"	22075.62	403	12421.30	30323.00
	"Conecuh County, AL"	"01035"	"Sep, 1979"	"1979/09"	17569.60	390	4294.00	24706.00
	"Conecuh County, AL"	"01035"	"Oct, 1979"	"1979/10"	18231.45	403	9776.80	21772.00
	"Conecuh County, AL"	"01035"	"Nov, 1979"	"1979/11"	12258.35	390	4483.30	16713.50
	"Conecuh County, AL"	"01035"	"Dec, 1979"	"1979/12"	9945.56	403	2735.50	13499.20
"Total"	"Conecuh County, AL"	"01035"			17209.96	4745	2735.50	32023.00
	"Coosa County, AL"	"01037"	"Jan, 1979"	"1979/01"	9006.79	372	3017.40	12856.40
	"Coosa County, AL"	"01037"	"Feb, 1979"	"1979/02"	11754.14	336	3879.70	17539.80
	"Coosa County, AL"	"01037"	"Mar, 1979"	"1979/03"	17314.22	372	7294.40	22786.10
	"Coosa County, AL"	"01037"	"Apr, 1979"	"1979/04"	18269.47	360	7119.80	25305.80
	"Coosa County, AL"	"01037"	"May, 1979"	"1979/05"	21496.99	372	10329.60	30148.00
	"Coosa County, AL"	"01037"	"Jun, 1979"	"1979/06"	25201.17	360	15765.20	31561.30
	"Coosa County, AL"	"01037"	"Jul, 1979"	"1979/07"	21324.50	372	9864.60	32803.90
	"Coosa County, AL"	"01037"	"Aug, 1979"	"1979/08"	22488.16	372	14821.40	30061.70
	"Coosa County, AL"	"01037"	"Sep, 1979"	"1979/09"	17131.72	360	3917.20	24669.70
	"Coosa County, AL"	"01037"	"Oct, 1979"	"1979/10"	17888.92	372	10541.30	21368.80
	"Coosa County, AL"	"01037"	"Nov, 1979"	"1979/11"	11310.97	360	3234.70	15759.20
	"Coosa County, AL"	"01037"	"Dec, 1979"	"1979/12"	9275.16	372	2491.90	12616.60
"Total"	"Coosa County, AL"	"01037"			16901.79	4380	2491.90	32803.90
	"Covington County, AL"	"01039"	"Jan, 1979"	"1979/01"	9744.19	527	2855.30	15297.80
	"Covington County, AL"	"01039"	"Feb, 1979"	"1979/02"	11928.35	476	2890.40	18622.30
	"Covington County, AL"	"01039"	"Mar, 1979"	"1979/03"	18909.78	527	5913.30	23659.50
	"Covington County, AL"	"01039"	"Apr, 1979"	"1979/04"	19009.97	510	9447.80	25249.60
	"Covington County, AL"	"01039"	"May, 1979"	"1979/05"	22100.88	527	13342.70	30138.30
	"Covington County, AL"	"01039"	"Jun, 1979"	"1979/06"	24184.28	510	13445.40	31503.90
	"Covington County, AL"	"01039"	"Jul, 1979"	"1979/07"	20794.57	527	11802.80	32682.70
	"Covington County, AL"	"01039"	"Aug, 1979"	"1979/08"	21646.24	527	12445.70	30364.10
	"Covington County, AL"	"01039"	"Sep, 1979"	"1979/09"	17063.83	510	4403.00	24561.70
	"Covington County, AL"	"01039"	"Oct, 1979"	"1979/10"	18233.57	527	10864.50	21544.30
	"Covington County, AL"	"01039"	"Nov, 1979"	"1979/11"	12003.11	510	3578.80	16795.50
	"Covington County, AL"	"01039"	"Dec, 1979"	"1979/12"	10196.12	527	3168.70	13602.70
"Total"	"Covington County, AL"	"01039"			17184.15	6205	2855.30	32682.70
	"Crenshaw County, AL"	"01041"	"Jan, 1979"	"1979/01"	9459.54	341	2966.60	14363.50
	"Crenshaw County, AL"	"01041"	"Feb, 1979"	"1979/02"	11865.83	308	3317.60	17998.10
	"Crenshaw County, AL"	"01041"	"Mar, 1979"	"1979/03"	18552.39	341	6962.50	23505.20
	"Crenshaw County, AL"	"01041"	"Apr, 1979"	"1979/04"	19035.67	330	7136.30	26442.70
	"Crenshaw County, AL"	"01041"	"May, 1979"	"1979/05"	22199.28	341	13868.80	30360.70
	"Crenshaw County, AL"	"01041"	"Jun, 1979"	"1979/06"	24870.70	330	14484.80	31526.10
	"Crenshaw County, AL"	"01041"	"Jul, 1979"	"1979/07"	21031.30	341	11125.60	33542.90
	"Crenshaw County, AL"	"01041"	"Aug, 1979"	"1979/08"	22345.71	341	14495.60	30538.80
	"Crenshaw County, AL"	"01041"	"Sep, 1979"	"1979/09"	17145.38	330	3730.50	24592.40
	"Crenshaw County, AL"	"01041"	"Oct, 1979"	"1979/10"	18206.63	341	11305.20	21521.10
	"Crenshaw County, AL"	"01041"	"Nov, 1979"	"1979/11"	11675.95	330	3686.90	16507.30
	"Crenshaw County, AL"	"01041"	"Dec, 1979"	"1979/12"	9755.23	341	2732.70	13129.60
"Total"	"Crenshaw County, AL"	"01041"			17211.31	4015	2732.70	33542.90
	"Cullman County, AL"	"01043"	"Jan, 1979"	"1979/01"	7803.12	403	2408.60	11754.50
	"Cullman County, AL"	"01043"	"Feb, 1979"	"1979/02"	10851.80	364	3628.40	16615.00
